id,enhanceType,type,param1,param2,caption
1,5,19,25,0,1
2,5,19,50,0,1
3,5,19,75,0,1
4,5,19,100,0,1
5,5,19,125,0,1
6,2,33,35,1,2
7,2,33,35,1,2
8,2,33,35,2,3
9,2,33,35,2,3
10,2,33,35,3,4
11,5,47,50,0,5
12,5,47,60,0,5
13,5,47,70,0,5
14,5,47,80,0,5
15,5,47,100,0,5
16,5,19,100,0,6
17,5,19,125,0,6
18,5,19,150,0,6
19,5,19,175,0,6
20,5,19,200,0,6
21,5,19,200,0,7
22,5,19,250,0,7
23,5,19,300,0,7
24,5,19,350,0,7
25,5,19,400,0,7
26,5,78,0,0,8
27,5,78,0,0,8
28,5,78,0,0,8
29,5,78,0,0,8
30,5,78,0,0,8
31,5,47,40,0,9
32,5,47,60,0,9
33,5,47,80,0,9
34,5,47,100,0,9
35,5,47,120,0,9
36,5,19,200,0,10
37,5,19,225,0,10
38,5,19,250,0,10
39,5,19,275,0,10
40,5,19,300,0,10
41,5,19,50,0,11
42,5,19,75,0,11
43,5,19,100,0,11
44,5,19,125,0,11
45,5,19,150,0,11
46,5,19,100,0,16
47,5,19,125,0,16
48,5,19,150,0,16
49,5,19,175,0,16
50,5,19,200,0,16
51,5,47,100,0,17
52,5,47,120,0,17
53,5,47,140,0,17
54,5,47,160,0,17
55,5,47,200,0,17
56,2,116,1,0,18
57,2,116,1,0,18
58,2,116,1,0,18
59,2,116,1,0,18
60,2,116,1,0,18
61,5,19,100,0,19
62,5,19,125,0,19
63,5,19,150,0,19
64,5,19,175,0,19
65,5,19,200,0,19
66,5,20,100,0,20
67,5,20,100,0,20
68,5,20,100,0,20
69,5,20,100,0,20
70,5,20,100,0,20
71,5,19,200,0,21
72,5,19,250,0,21
73,5,19,300,0,21
74,5,19,350,0,21
75,5,19,400,0,21
76,5,47,20,0,22
77,5,47,30,0,22
78,5,47,40,0,22
79,5,47,50,0,22
80,5,47,60,0,22
81,5,104,10,10,23
82,5,104,20,20,23
83,5,104,30,30,23
84,5,104,40,40,23
85,5,104,50,50,23
86,5,34,5,0,24
87,5,34,6,0,24
88,5,34,7,0,24
89,5,34,8,0,24
90,5,34,10,0,24
91,5,47,1000,0,25
92,5,47,1000,0,25
93,5,47,1000,0,25
94,5,47,1000,0,25
95,5,47,1000,0,25
96,5,86,0,0,26
97,5,86,0,0,26
98,5,86,0,0,26
99,5,86,0,0,26
100,5,86,0,0,26
101,5,114,1,0,27
102,5,114,1,0,27
103,5,114,2,0,27
104,5,114,2,0,27
105,5,114,3,0,27
106,5,19,50,0,28
107,5,19,75,0,28
108,5,19,100,0,28
109,5,19,125,0,28
110,5,19,150,0,28
111,5,32,18,1,29
112,5,32,18,1,29
113,5,32,18,2,30
114,5,32,18,2,30
115,5,32,18,3,31
116,5,33,34,1,32
117,5,33,34,1,32
118,5,33,34,2,33
119,5,33,34,2,33
120,5,33,34,3,34
121,5,22,100,0,35
122,5,22,150,0,35
123,5,22,200,0,35
124,5,22,250,0,35
125,5,22,300,0,35
126,5,32,3,1,36
127,5,32,3,2,37
128,5,32,3,3,38
129,5,32,3,4,39
130,5,32,3,5,40
131,5,77,100,0,41
132,5,77,125,0,41
133,5,77,150,0,41
134,5,77,175,0,41
135,5,77,200,0,41
136,5,19,25,0,42
137,5,19,50,0,42
138,5,19,75,0,42
139,5,19,100,0,42
140,5,19,125,0,42
141,5,19,100,0,43
142,5,19,125,0,43
143,5,19,150,0,43
144,5,19,175,0,43
145,5,19,200,0,43
146,5,28,100,0,44
147,5,28,125,0,44
148,5,28,150,0,44
149,5,28,175,0,44
150,5,28,200,0,44
151,5,19,30,0,45
152,5,19,60,0,45
153,5,19,90,0,45
154,5,19,120,0,45
155,5,19,150,0,45
156,5,19,25,0,46
157,5,19,50,0,46
158,5,19,75,0,46
159,5,19,100,0,46
160,5,19,125,0,46
161,5,21,50,0,47
162,5,21,75,0,47
163,5,21,100,0,47
164,5,21,125,0,47
165,5,21,150,0,47
