ID,ParamID,Name,LvMin,LvMax,Flag(Named),DropTableID,RstDebuffRev
1,1,1,1,1,0,3081,0
2,3,2,20,20,0,3085,0
3,5,3,1,1,0,3089,0
4,6,4,1,1,0,3100,0
5,15,12,1,1,0,3108,0
6,15,13,1,1,0,3108,0
7,19,14,1,1,0,3117,0
8,19,15,1,1,0,3117,0
9,22,16,1,1,0,3124,0
10,23,17,1,1,0,3133,0
11,24,18,1,1,0,3144,0
12,24,19,1,1,0,3144,0
13,27,20,1,1,0,3165,0
14,29,21,1,1,0,3165,0
15,31,22,1,1,0,3169,0
16,35,23,1,1,0,3174,0
17,37,24,1,1,0,3182,0
18,39,25,1,1,0,3190,0
19,41,26,1,1,0,3198,0
20,60,31,1,1,0,3206,0
21,62,32,1,1,0,3206,0
22,66,33,1,1,0,3212,0
23,68,34,1,1,0,3212,0
24,70,35,1,1,0,3212,0
25,93,37,1,1,0,3219,0
26,79,38,1,1,0,3227,0
27,81,39,1,1,0,3235,0
28,83,40,1,1,0,3243,0
29,100,45,1,1,0,3251,0
30,101,46,1,1,0,3258,0
31,105,47,1,1,0,3272,0
32,107,48,1,1,0,3280,0
33,109,49,1,1,0,3288,0
34,135,55,1,1,0,3308,0
35,139,56,1,1,0,3308,0
36,145,58,1,1,0,3314,0
37,147,59,1,1,0,3314,0
38,149,60,1,1,0,3314,0
39,151,61,1,1,0,3314,0
40,161,66,1,1,0,3317,0
41,163,67,1,1,0,3317,0
42,171,68,1,1,0,3321,0
43,172,69,1,1,0,3327,0
44,177,70,1,1,0,3333,0
45,178,71,1,1,0,3336,0
46,219,72,1,1,0,3358,0
47,247,73,1,1,0,3360,0
48,276,74,1,1,0,3358,0
49,305,75,1,1,0,3360,0
50,338,76,1,1,0,3362,0
51,340,77,1,1,0,3362,0
52,344,78,1,1,0,3366,0
53,346,79,1,1,0,3366,0
54,350,80,1,1,0,3370,0
55,352,81,1,1,0,3379,0
56,354,82,1,1,0,3370,0
57,356,83,1,1,0,3379,0
58,364,84,1,1,0,3397,0
59,383,85,1,1,0,3399,0
60,391,86,1,1,0,3401,0
61,393,87,1,1,0,3401,0
62,443,88,1,1,0,3403,0
63,445,89,1,1,0,3403,0
64,476,90,1,1,0,3405,0
65,495,91,1,1,0,3407,0
66,503,92,1,1,0,3409,0
67,508,93,1,1,0,3411,0
68,509,94,1,1,0,3413,0
69,510,95,1,1,0,3419,0
70,511,96,1,1,0,3421,0
71,512,97,1,1,0,3423,0
72,514,98,1,1,0,3425,0
73,516,99,1,1,0,3430,0
74,519,100,1,1,0,3425,0
75,521,101,1,1,0,3425,0
76,523,102,1,1,0,3430,0
77,525,103,1,1,0,3435,0
78,528,104,1,1,0,3435,0
79,538,107,1,1,0,3440,0
80,540,108,1,1,0,3451,0
81,543,109,1,1,0,3440,0
82,545,110,1,1,0,3451,0
83,551,111,1,1,0,3462,0
84,553,112,1,1,0,3467,0
85,556,113,1,1,0,3467,0
86,558,114,1,1,0,3472,0
87,561,115,1,1,0,3472,0
88,563,116,1,1,0,3478,0
89,565,117,1,1,0,3478,0
90,568,118,1,1,0,3484,0
91,570,119,1,1,0,3484,0
92,578,123,1,1,0,3486,0
93,580,124,1,1,0,3489,0
94,582,125,1,1,0,3492,0
95,584,126,1,1,0,3489,0
96,586,127,1,1,0,3492,0
97,591,129,1,1,0,3495,0
98,593,130,1,1,0,3495,0
99,619,134,1,1,0,3521,0
100,621,135,1,1,0,3526,0
101,623,136,1,1,0,3521,0
102,625,137,1,1,0,3526,0
103,628,138,1,1,0,3531,0
104,630,139,1,1,0,3536,0
105,632,140,1,1,0,3531,0
106,634,141,1,1,0,3536,0
107,642,144,1,1,0,3541,0
108,644,145,1,1,0,3544,0
109,646,146,1,1,0,3541,0
110,648,147,1,1,0,3544,0
