id,lot1,affixId1,lot2,affixId2,lot3,affixId3,lot4,affixId4,lot5,affixId5,lot6,affixId6,lot7,affixId7,lot8,affixId8,lot9,affixId9,lot10,affixId10
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,5,1944,10,1964,10,721,20,141,30,1343,30,1363,30,1283,100,41,0,0,0,0
26,5,3432,10,641,10,1263,20,1984,30,2492,30,1824,30,261,100,101,0,0,0,0
27,10,1944,15,1964,15,721,25,141,35,1343,35,1363,35,1283,100,681,0,0,0,0
28,10,3432,15,641,15,1263,25,1984,35,2492,35,1824,35,261,100,101,0,0,0,0
29,5,1704,10,2892,10,743,20,141,30,1524,30,1504,30,1484,100,61,0,0,0,0
30,5,723,10,641,10,701,20,1584,30,2512,30,1263,30,281,100,121,0,0,0,0
31,10,1704,15,2892,15,743,25,141,35,1524,35,1504,35,1484,100,681,0,0,0,0
32,10,723,15,641,15,701,25,1584,35,2512,35,1263,35,281,100,121,0,0,0,0
33,5,1946,10,1966,10,721,20,143,30,1345,30,1365,30,1285,100,43,0,0,0,0
34,5,3432,10,643,10,1265,20,1986,30,2494,30,1826,30,263,100,103,0,0,0,0
35,10,1946,15,1966,15,721,25,143,35,1345,35,1365,35,1285,100,683,0,0,0,0
36,10,3432,15,643,15,1265,25,1986,35,2494,35,1826,35,263,100,103,0,0,0,0
37,5,1948,10,1968,10,721,20,145,30,1347,30,1367,30,1287,100,45,0,0,0,0
38,5,3432,10,645,10,1267,20,1988,30,2496,30,1828,30,265,100,105,0,0,0,0
39,10,1948,15,1968,15,721,25,145,35,1347,35,1367,35,1287,100,685,0,0,0,0
40,10,3432,15,645,15,1267,25,1988,35,2496,35,1828,35,265,100,105,0,0,0,0
41,5,601,10,1704,10,561,20,763,30,1343,30,1363,30,1283,100,41,0,0,0,0
42,5,621,10,641,10,581,20,803,30,2124,30,843,30,823,100,101,0,0,0,0
43,10,601,15,1704,15,561,25,763,35,1343,35,1363,35,1283,100,681,0,0,0,0
44,10,621,15,641,15,581,25,803,35,2124,35,843,35,823,100,101,0,0,0,0
45,5,603,10,1706,10,563,20,765,30,1345,30,1365,30,1285,100,43,0,0,0,0
46,5,623,10,643,10,583,20,805,30,2126,30,845,30,825,100,103,0,0,0,0
47,10,603,15,1706,15,563,25,765,35,1345,35,1365,35,1285,100,683,0,0,0,0
48,10,623,15,643,15,583,25,805,35,2126,35,845,35,825,100,103,0,0,0,0
49,5,605,10,1708,10,565,20,767,30,1347,30,1367,30,1287,100,45,0,0,0,0
50,5,625,10,645,10,585,20,807,30,2128,30,847,30,827,100,105,0,0,0,0
51,10,605,15,1708,15,565,25,767,35,1347,35,1367,35,1287,100,685,0,0,0,0
52,10,625,15,645,15,585,25,807,35,2128,35,847,35,827,100,105,0,0,0,0
53,5,1706,10,2894,10,745,20,143,30,1526,30,1506,30,1486,100,63,0,0,0,0
54,5,725,10,643,10,703,20,1586,30,2514,30,1265,30,283,100,123,0,0,0,0
55,10,1706,15,2894,15,745,25,143,35,1526,35,1506,35,1486,100,683,0,0,0,0
56,10,725,15,643,15,703,25,1586,35,2514,35,1265,35,283,100,123,0,0,0,0
57,5,1708,10,2896,10,747,20,145,30,1528,30,1508,30,1488,100,65,0,0,0,0
58,5,727,10,645,10,705,20,1588,30,2516,30,1267,30,285,100,125,0,0,0,0
59,10,1708,15,2896,15,747,25,145,35,1528,35,1508,35,1488,100,685,0,0,0,0
60,10,727,15,645,15,705,25,1588,35,2516,35,1267,35,285,100,125,0,0,0,0
61,5,1950,10,1970,10,721,20,147,30,1349,30,1369,30,1289,100,47,0,0,0,0
62,5,3432,10,647,10,1269,20,1990,30,2498,30,1830,30,267,100,107,0,0,0,0
63,10,1950,15,1970,15,721,25,147,35,1349,35,1369,35,1289,100,687,0,0,0,0
64,10,3432,15,647,15,1269,25,1990,35,2498,35,1830,35,267,100,107,0,0,0,0
65,5,1952,10,1972,10,721,20,149,30,1351,30,1371,30,1291,100,49,0,0,0,0
66,5,3432,10,649,10,1271,20,1992,30,2500,30,1832,30,269,100,109,0,0,0,0
67,10,1952,15,1972,15,721,25,149,35,1351,35,1371,35,1291,100,689,0,0,0,0
68,10,3432,15,649,15,1271,25,1992,35,2500,35,1832,35,269,100,109,0,0,0,0
69,5,607,10,1710,10,567,20,769,30,1349,30,1369,30,1289,100,47,0,0,0,0
70,5,627,10,647,10,587,20,809,30,2130,30,849,30,829,100,107,0,0,0,0
71,10,607,15,1710,15,567,25,769,35,1349,35,1369,35,1289,100,687,0,0,0,0
72,10,627,15,647,15,587,25,809,35,2130,35,849,35,829,100,107,0,0,0,0
73,5,609,10,1712,10,569,20,771,30,1351,30,1371,30,1291,100,49,0,0,0,0
74,5,629,10,649,10,589,20,811,30,2132,30,851,30,831,100,109,0,0,0,0
75,10,609,15,1712,15,569,25,771,35,1351,35,1371,35,1291,100,689,0,0,0,0
76,10,629,15,649,15,589,25,811,35,2132,35,851,35,831,100,109,0,0,0,0
77,5,1710,10,2898,10,749,20,147,30,1530,30,1510,30,1490,100,67,0,0,0,0
78,5,729,10,647,10,707,20,1590,30,2518,30,1269,30,287,100,127,0,0,0,0
79,10,1710,15,2898,15,749,25,147,35,1530,35,1510,35,1490,100,687,0,0,0,0
80,10,729,15,647,15,707,25,1590,35,2518,35,1269,35,287,100,127,0,0,0,0
81,5,1712,10,2900,10,751,20,149,30,1532,30,1512,30,1492,100,69,0,0,0,0
82,5,731,10,649,10,709,20,1592,30,2520,30,1271,30,289,100,129,0,0,0,0
83,10,1712,15,2900,15,751,25,149,35,1532,35,1512,35,1492,100,689,0,0,0,0
84,10,731,15,649,15,709,25,1592,35,2520,35,1271,35,289,100,129,0,0,0,0
85,5,1954,10,1974,10,721,20,151,30,1353,30,1373,30,1293,100,51,0,0,0,0
86,5,3432,10,651,10,1273,20,1994,30,2502,30,1834,30,271,100,111,0,0,0,0
87,10,1954,15,1974,15,721,25,151,35,1353,35,1373,35,1293,100,691,0,0,0,0
88,10,3432,15,651,15,1273,25,1994,35,2502,35,1834,35,271,100,111,0,0,0,0
89,5,1956,8,1976,8,721,10,153,15,1355,15,1375,15,1295,100,53,0,0,0,0
90,5,3432,8,653,8,1275,10,1996,15,2504,15,1836,15,273,100,113,0,0,0,0
