ID,Name,PartsName,LotRank,Lock,GoldBox,SilverBox,BronzeBox
1,"【本体】",1589,1,0,0,0,2
2,arm_L,1505,1,0,0,0,2
3,arm_R,1506,1,0,0,0,2
4,head,1568,1,0,0,0,2
5,"【本体】",1589,2,0,2,45,10
6,arm_L,1505,7,0,0,0,10
7,arm_R,1506,7,0,0,0,10
8,head,1568,7,0,0,0,10
9,"【本体】",1589,22,0,2,45,10
10,arm_L,1505,7,0,0,0,10
11,arm_R,1506,7,0,0,0,10
12,head,1568,7,0,0,0,10
13,"【本体】",1589,11,0,2,58,10
14,arm_L,1505,12,0,0,0,10
15,arm_R,1506,12,0,0,0,10
16,head,1568,12,0,0,0,10
17,"【本体】",1589,2,0,2,45,11
18,arm_L,1505,7,0,0,0,11
19,arm_R,1506,7,0,0,0,11
20,head,1568,7,0,0,0,11
21,"【本体】",1589,11,0,2,59,11
22,arm_L,1505,12,0,0,0,11
23,arm_R,1506,12,0,0,0,11
24,head,1568,12,0,0,0,11
25,"【本体】",1589,2,0,2,45,12
26,canon,1531,7,0,0,0,12
27,doroid,1542,7,0,0,0,12
28,dm_L,1540,7,0,0,0,12
29,dm_R,1541,7,0,0,0,12
30,"【本体】",1589,22,0,2,45,12
31,canon,1531,7,0,0,0,12
32,doroid,1542,7,0,0,0,12
33,dm_L,1540,7,0,0,0,12
34,dm_R,1541,7,0,0,0,12
35,"【本体】",1589,11,0,2,60,12
36,canon,1531,12,0,0,0,12
37,doroid,1542,12,0,0,0,12
38,dm_L,1540,12,0,0,0,12
39,dm_R,1541,12,0,0,0,12
40,"【本体】",1589,2,0,2,45,13
41,canon,1531,7,0,0,0,13
42,doroid,1542,7,0,0,0,13
43,dm_L,1540,7,0,0,0,13
44,dm_R,1541,7,0,0,0,13
45,"【本体】",1589,11,0,2,61,13
46,canon,1531,12,0,0,0,13
47,doroid,1542,12,0,0,0,13
48,dm_L,1540,12,0,0,0,13
49,dm_R,1541,12,0,0,0,13
50,"【本体】",1589,2,0,4,47,22
51,ring,1609,7,0,0,0,22
52,gun_L,1564,7,0,0,0,22
53,gun_R,1565,7,0,0,0,22
54,pod_L,1602,7,0,0,0,22
55,pod_R,1603,7,0,0,0,22
56,"【本体】",1589,2,0,4,47,23
57,ring,1609,7,0,0,0,23
58,gun_L,1564,7,0,0,0,23
59,gun_R,1565,7,0,0,0,23
60,pod_L,1602,7,0,0,0,23
61,pod_R,1603,7,0,0,0,23
62,"【本体】",1589,11,0,4,70,22
63,ring,1609,12,0,0,0,22
64,gun_L,1564,12,0,0,0,22
65,gun_R,1565,12,0,0,0,22
66,pod_L,1602,12,0,0,0,22
67,pod_R,1603,12,0,0,0,22
68,"【本体】",1589,11,0,4,71,23
69,ring,1609,12,0,0,0,23
70,gun_L,1564,12,0,0,0,23
71,gun_R,1565,12,0,0,0,23
72,pod_L,1602,12,0,0,0,23
73,pod_R,1603,12,0,0,0,23
74,"【本体】",1589,2,0,2,45,24
75,parts_L,1600,7,0,0,0,24
76,parts_R,1601,7,0,0,0,24
77,mark,1591,7,0,0,0,24
78,spine,1619,7,0,0,0,24
79,arm_L,1505,7,0,0,0,24
80,arm_R,1506,7,0,0,0,24
81,"【本体】",1589,14,1,0,11,24
82,parts_L,1600,7,0,0,0,24
83,parts_R,1601,7,0,0,0,24
84,mark,1591,7,0,0,0,24
85,spine,1619,7,0,0,0,24
86,arm_L,1505,7,0,0,0,24
87,arm_R,1506,7,0,0,0,24
88,"【本体】",1589,2,0,2,45,25
89,parts_L,1600,7,0,0,0,25
90,parts_R,1601,7,0,0,0,25
91,mark,1591,7,0,0,0,25
92,spine,1619,7,0,0,0,25
93,arm_L,1505,7,0,0,0,25
94,arm_R,1506,7,0,0,0,25
95,"【本体】",1589,2,0,2,45,26
96,parts_L,1600,7,0,0,0,26
97,parts_R,1601,7,0,0,0,26
98,mark,1591,7,0,0,0,26
99,spine,1619,7,0,0,0,26
100,arm_L,1505,7,0,0,0,26
101,arm_R,1506,7,0,0,0,26
102,"【本体】",1589,22,0,2,45,26
103,parts_L,1600,7,0,0,0,26
104,parts_R,1601,7,0,0,0,26
105,mark,1591,7,0,0,0,26
106,spine,1619,7,0,0,0,26
107,arm_L,1505,7,0,0,0,26
108,arm_R,1506,7,0,0,0,26
109,"【本体】",1589,2,0,2,45,27
110,parts_L,1600,7,0,0,0,27
111,parts_R,1601,7,0,0,0,27
112,mark,1591,7,0,0,0,27
113,spine,1619,7,0,0,0,27
114,arm_L,1505,7,0,0,0,27
115,arm_R,1506,7,0,0,0,27
116,"【本体】",1589,11,0,2,72,24
117,parts_L,1600,12,0,0,0,24
118,parts_R,1601,12,0,0,0,24
119,mark,1591,12,0,0,0,24
120,spine,1619,12,0,0,0,24
121,arm_L,1505,12,0,0,0,24
122,arm_R,1506,12,0,0,0,24
123,"【本体】",1589,11,0,2,73,25
124,parts_L,1600,12,0,0,0,25
125,parts_R,1601,12,0,0,0,25
126,mark,1591,12,0,0,0,25
127,spine,1619,12,0,0,0,25
128,arm_L,1505,12,0,0,0,25
129,arm_R,1506,12,0,0,0,25
130,"【本体】",1589,11,0,2,74,26
131,parts_L,1600,12,0,0,0,26
132,parts_R,1601,12,0,0,0,26
133,mark,1591,12,0,0,0,26
134,spine,1619,12,0,0,0,26
135,arm_L,1505,12,0,0,0,26
136,arm_R,1506,12,0,0,0,26
137,"【本体】",1589,11,0,2,75,27
138,parts_L,1600,12,0,0,0,27
139,parts_R,1601,12,0,0,0,27
140,mark,1591,12,0,0,0,27
141,spine,1619,12,0,0,0,27
142,arm_L,1505,12,0,0,0,27
143,arm_R,1506,12,0,0,0,27
144,"【本体】",1589,17,0,7,313,43
145,cannon,1529,17,0,7,313,43
146,leg_L,1587,17,0,7,313,43
147,leg_R,1588,17,0,7,313,43
148,leg_B,1586,17,0,7,313,43
149,egg_L,1546,17,0,7,313,43
150,egg_R,1547,17,0,7,313,43
151,egg_F,1545,17,0,7,313,43
152,"【本体】",1589,11,0,124,358,43
153,cannon,1529,11,0,7,313,43
154,leg_L,1587,11,0,7,313,43
155,leg_R,1588,11,0,7,313,43
156,leg_B,1586,11,0,7,313,43
157,egg_L,1546,11,0,7,313,43
158,egg_R,1547,11,0,7,313,43
159,egg_F,1545,11,0,7,313,43
160,"【本体】",1589,2,0,2,45,44
161,arm_L,1505,7,0,0,0,44
162,arm_R,1506,7,0,0,0,44
163,eye,1548,7,0,0,0,44
164,"【本体】",1589,22,0,2,45,44
165,arm_L,1505,7,0,0,0,44
166,arm_R,1506,7,0,0,0,44
167,eye,1548,7,0,0,0,44
168,"【本体】",1589,2,0,2,45,45
169,arm_L,1505,7,0,0,0,45
170,arm_R,1506,7,0,0,0,45
171,eye,1548,7,0,0,0,45
172,"【本体】",1589,11,0,2,93,44
173,arm_L,1505,12,0,0,0,44
174,arm_R,1506,12,0,0,0,44
175,eye,1548,12,0,0,0,44
176,"【本体】",1589,11,0,2,94,45
177,arm_L,1505,12,0,0,0,45
178,arm_R,1506,12,0,0,0,45
179,eye,1548,12,0,0,0,45
