ID,Item_01,Item_02,Item_03,Item_04,Item_05,Item_06,Item_07,Item_08
1,38,0,0,0,0,0,0,0
2,38,0,0,0,0,0,0,0
3,643,320,264,0,0,0,0,0
4,643,320,264,0,0,0,0,0
5,644,321,265,0,0,0,0,0
6,645,322,266,0,0,0,0,0
7,38,0,0,0,0,0,0,0
8,38,0,0,0,0,0,0,0
9,38,0,0,0,0,0,0,0
10,657,656,392,337,279,0,0,0
11,657,656,393,337,279,0,0,0
12,658,397,395,394,333,277,0,0
13,658,397,396,394,333,277,0,0
14,403,404,398,334,280,0,0,0
15,403,404,398,334,280,0,0,0
16,403,404,398,334,280,0,0,0
17,403,404,398,334,280,0,0,0
18,399,404,398,334,280,0,0,0
19,400,404,398,334,280,0,0,0
20,401,404,398,334,280,0,0,0
21,402,404,398,334,280,0,0,0
22,407,406,405,335,281,0,0,0
23,408,406,405,335,281,0,0,0
24,746,409,410,422,336,282,0,0
25,747,409,410,422,336,282,0,0
26,748,409,410,422,336,282,0,0
27,749,409,410,422,336,282,0,0
28,413,421,411,333,278,0,0,0
29,413,421,411,333,278,0,0,0
30,413,421,411,333,278,0,0,0
31,413,421,411,333,278,0,0,0
32,413,421,412,333,278,0,0,0
33,413,421,412,333,278,0,0,0
34,413,421,412,333,278,0,0,0
35,413,421,412,333,278,0,0,0
36,646,323,267,0,0,0,0,0
37,586,579,581,582,380,311,0,0
38,586,579,581,582,380,311,0,0
39,586,579,581,582,380,311,0,0
40,586,580,581,583,380,311,0,0
41,586,580,581,584,380,311,0,0
42,586,580,581,585,380,311,0,0
43,38,0,0,0,0,0,0,0
44,659,416,414,334,283,0,0,0
45,659,416,415,334,283,0,0,0
46,732,588,589,587,381,312,0,0
47,733,588,589,587,381,312,0,0
48,734,588,589,587,381,312,0,0
49,735,588,589,587,381,312,0,0
50,660,417,338,284,0,0,0,0
51,660,418,338,284,0,0,0,0
52,660,419,338,284,0,0,0,0
53,660,420,338,284,0,0,0,0
54,660,417,339,284,0,0,0,0
55,660,418,339,284,0,0,0,0
56,660,419,339,284,0,0,0,0
57,660,420,339,284,0,0,0,0
58,661,424,423,340,285,0,0,0
59,661,425,423,340,285,0,0,0
60,661,426,423,340,285,0,0,0
61,661,427,423,340,285,0,0,0
62,647,324,268,0,0,0,0,0
63,647,324,268,0,0,0,0,0
64,380,340,312,0,0,0,0,0
65,38,0,0,0,0,0,0,0
66,662,342,287,0,0,0,0,0
67,662,341,287,0,0,0,0,0
68,662,343,287,0,0,0,0,0
69,662,341,287,0,0,0,0,0
70,662,343,287,0,0,0,0,0
71,662,341,287,0,0,0,0,0
72,428,344,286,0,0,0,0,0
73,429,344,286,0,0,0,0,0
74,428,344,286,0,0,0,0,0
75,429,344,286,0,0,0,0,0
76,736,591,590,382,313,0,0,0
77,737,594,595,383,314,0,0,0
78,736,592,590,382,313,0,0,0
79,737,594,595,383,314,0,0,0
80,736,593,590,382,313,0,0,0
81,736,86,590,382,313,0,0,0
82,345,287,0,0,0,0,0,0
83,663,345,287,0,0,0,0,0
84,663,345,287,0,0,0,0,0
85,345,287,0,0,0,0,0,0
86,648,325,269,0,0,0,0,0
87,649,326,270,0,0,0,0,0
88,650,327,271,0,0,0,0,0
89,38,0,0,0,0,0,0,0
90,38,0,0,0,0,0,0,0
91,664,433,430,436,369,293,0,0
92,665,437,431,438,349,293,0,0
93,664,432,430,436,369,293,0,0
94,664,434,430,436,369,293,0,0
95,665,439,431,438,349,293,0,0
96,440,442,441,347,292,0,0,0
97,440,443,441,347,292,0,0,0
98,440,444,441,347,292,0,0,0
99,665,445,431,438,349,293,0,0
100,664,435,430,436,369,293,0,0
101,664,435,430,436,369,293,0,0
102,668,447,446,448,352,294,0,0
103,670,450,449,451,352,307,0,0
104,667,447,446,448,352,294,0,0
105,671,450,449,451,352,307,0,0
106,669,447,446,448,352,294,0,0
107,666,447,446,448,352,294,0,0
108,672,453,452,351,290,0,0,0
109,673,674,454,346,290,0,0,0
110,673,675,454,346,290,0,0,0
111,457,456,459,455,353,289,0,0
112,458,456,459,455,353,289,0,0
113,460,463,462,455,354,289,0,0
114,461,463,462,455,354,289,0,0
115,676,464,348,288,0,0,0,0
116,676,465,348,288,0,0,0,0
117,676,466,348,288,0,0,0,0
118,676,467,348,288,0,0,0,0
119,676,468,348,288,0,0,0,0
120,677,470,469,350,291,0,0,0
121,679,471,469,348,288,0,0,0
122,681,472,469,350,289,0,0,0
123,680,471,469,348,288,0,0,0
124,682,472,469,350,289,0,0,0
125,678,470,469,350,291,0,0,0
126,683,473,346,290,0,0,0,0
127,683,474,346,290,0,0,0,0
128,711,376,308,0,0,0,0,0
129,711,376,308,0,0,0,0,0
130,711,376,308,0,0,0,0,0
131,684,475,351,307,0,0,0,0
132,687,476,372,294,0,0,0,0
133,685,475,351,307,0,0,0,0
134,686,475,351,307,0,0,0,0
135,688,476,372,294,0,0,0,0
136,738,596,599,598,357,298,0,0
