ID,wpn[0],wpn[1],wpn[2],wpn[3],wpn[4],wpn[5],wpn[6],wpn[7],wpn[8],wpn[9],wpn[10],wpn[11],wpn[12],wpn[13],wpn[14],wpn[15],wpn[16],wpn[17],wpn[18],wpn[19],wpn[20],wpn[21],wpn[22],wpn[23],wpn[24],wpn[25],wpn[26]
0,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,635,375,635,635,635,635,635,635,635
1,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,376,636,636,636,636,636,636,636
2,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,377,637,637,637,637,637,637,637
3,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,638,378,638,638,638,638,638,638,638
4,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,639,379,639,639,639,639,639,639,639
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3179,2935,3545,3595,2877,3395,3129,3275,2887,2965,3003,3255,2693,3245,3585,3465,2945,3169,3455,3159,2983,3209,2779,3119,3595,3595,3595
11,3189,2797,3295,3605,3275,3405,2611,0,3013,3003,0,3109,2731,3199,3535,3475,2955,3335,3525,3325,0,0,2655,3285,3605,3605,3605
12,3089,3209,3219,3615,2683,3415,0,0,2897,0,0,3023,2817,3059,3555,3485,2983,3345,2907,3099,0,0,2703,3139,3615,3615,3615
13,0,0,3079,0,2713,3425,0,0,3069,0,0,2847,2749,2867,3565,3495,0,3355,2637,3265,0,0,0,3149,0,0,0
14,0,0,2917,0,0,3435,0,0,0,0,0,2601,0,2807,3575,3505,0,3365,0,2857,0,0,0,3315,0,0,0
15,0,0,2769,0,0,3445,0,0,0,0,0,3033,0,2837,3305,3515,0,3375,0,2993,0,0,0,0,0,0,0
16,0,0,2759,0,0,0,0,0,0,0,0,0,0,2665,0,0,0,3385,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,2827,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3179,2935,3545,3595,2877,3395,3129,3275,2887,2965,3003,3255,2693,3245,3585,3465,2945,3169,3455,3159,2983,3209,2779,3119,3595,3595,3595
21,3189,2797,3295,3605,3275,3405,2611,0,3013,3003,0,3109,2731,3199,3535,3475,2955,3335,3525,3325,0,0,2655,3285,3605,3605,3605
22,3089,3209,3219,3615,2683,3415,0,0,2897,0,0,3023,2817,3059,3555,3485,2983,3345,2907,3099,0,0,2703,3139,3615,3615,3615
23,0,0,3079,0,2713,3425,0,0,3069,0,0,2847,2749,2867,3565,3495,0,3355,2637,3265,0,0,0,3149,0,0,0
24,0,0,2917,0,0,3435,0,0,0,0,0,2601,0,2807,3575,3505,0,3365,0,2857,0,0,0,3315,0,0,0
25,0,0,2769,0,0,3445,0,0,0,0,0,3033,0,2837,3305,3515,0,3375,0,2993,0,0,0,0,0,0,0
26,0,0,2759,0,0,0,0,0,0,0,0,0,0,2665,0,0,0,3385,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,2827,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,3180,2936,3546,3596,2878,3396,3130,3276,2888,2966,3004,3256,2694,3246,3586,3466,3043,3229,3456,3160,2984,3210,2675,3120,3596,3596,3596
31,3190,2798,3296,3606,3276,3406,2621,0,3014,2975,0,3110,2732,3200,3536,3476,2946,3170,3526,3326,0,0,2780,3286,3606,3606,3606
32,3090,3210,3220,3616,2684,3416,2612,0,2898,3004,0,3024,2818,3060,3556,3486,2956,3336,2908,3100,0,0,2656,3140,3616,3616,3616
33,2741,0,3080,0,2714,3426,0,0,3070,0,0,2848,2750,2868,3566,3496,2984,3237,2647,3266,0,0,2704,3150,0,0,0
34,0,0,2918,0,0,3436,0,0,0,0,0,2723,0,2808,3576,3506,0,3346,2638,2858,0,0,0,3316,0,0,0
35,0,0,2927,0,0,3446,0,0,0,0,0,2602,0,2838,3306,3516,0,3356,0,2994,0,0,0,2789,0,0,0
36,0,0,2629,0,0,0,0,0,0,0,0,3034,0,2666,0,0,0,3366,0,3051,0,0,0,0,0,0,0
37,0,0,2770,0,0,0,0,0,0,0,0,0,0,2828,0,0,0,3376,0,0,0,0,0,0,0,0,0
38,0,0,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3386,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,3181,2937,3547,3597,2879,3397,3131,3277,2889,2967,3005,3257,2695,3247,3587,3467,3044,3230,3457,3161,2985,3211,2676,3121,3597,3597,3597
41,3191,2799,3297,3607,3277,3407,2622,0,3015,2976,0,3111,2733,3201,3537,3477,2947,3171,3527,3327,0,0,2781,3287,3607,3607,3607
42,3091,3211,3221,3617,2685,3417,2613,0,2899,3005,0,3025,2819,3061,3557,3487,2957,3337,2909,3101,0,0,2657,3141,3617,3617,3617
43,2742,0,3081,0,2715,3427,0,0,3071,0,0,2849,2751,2869,3567,3497,2985,3238,2648,3267,0,0,2705,3151,0,0,0
44,0,0,2919,0,0,3437,0,0,0,0,0,2724,0,2809,3577,3507,0,3347,2639,2859,0,0,0,3317,0,0,0
45,0,0,2928,0,0,3447,0,0,0,0,0,2603,0,2839,3307,3517,0,3357,0,2995,0,0,0,2790,0,0,0
46,0,0,2630,0,0,0,0,0,0,0,0,3035,0,2667,0,0,0,3367,0,3052,0,0,0,0,0,0,0
47,0,0,2771,0,0,0,0,0,0,0,0,0,0,2829,0,0,0,3377,0,0,0,0,0,0,0,0,0
48,0,0,2761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3387,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3182,2938,3548,3598,2880,3398,3132,3278,2890,2968,3006,3258,2696,3248,3588,3468,3045,3231,3458,3162,2986,3212,2677,3122,3598,3598,3598
51,3192,2800,3298,3608,3278,3408,2623,0,3016,2977,0,3112,2734,3202,3538,3478,2948,3172,3528,3328,0,0,2782,3288,3608,3608,3608
52,3092,3212,3222,3618,2686,3418,2614,0,2900,3006,0,3026,2820,3062,3558,3488,2958,3338,2910,3102,0,0,2658,3142,3618,3618,3618
