ID,DrpPcArmorType,DrpDlWpnType,DrpDlArmorType,Parts
1,1,1,1,en010201
2,1,1,1,en010204
3,1,1,1,en010301
4,1,1,1,en010301b
5,1,1,1,en010310
6,1,3,1,en010501
7,1,3,1,en010501
8,1,3,1,en010501
9,1,3,1,en010601
10,1,3,1,en010601
11,1,3,1,en010601_sq005
12,1,5,1,en010701
13,1,5,1,en010702
14,1,5,1,en010801
15,1,5,1,en010802
16,1,5,1,en010801
17,1,15,1,en010901
18,1,3,1,en010901
19,1,1,1,en011001
20,1,20,1,en011001
21,1,6,2,en011101
22,1,3,2,en011102
23,1,14,2,en011103
24,1,19,2,en011104
25,1,6,2,en011101
26,1,3,2,en011102
27,1,14,2,en011103
28,1,19,2,en011104
29,1,4,2,en011201
30,1,2,2,en011201
31,1,12,1,en011302
32,1,12,1,en011302
33,1,12,1,en011302
34,1,12,1,en011302
35,1,13,6,en011501
36,1,10,6,en011502
37,1,23,6,en011503
38,1,24,6,en011504
39,1,13,6,en011501
40,1,10,6,en011502
41,1,23,6,en011503
42,1,24,6,en011504
43,1,24,6,en011501
44,1,2,1,en011601
45,1,2,1,en011602
46,1,20,3,en011801
47,1,16,3,en011802
48,1,5,3,en011803
49,1,20,3,en011801
50,1,16,3,en011802
51,1,5,3,en011803
52,1,20,3,en011801_sq013
53,1,16,3,en011802_sq013
54,1,5,3,en011803_sq013
55,1,20,3,en011801
56,1,1,3,en011901
57,1,1,3,en011901_sq029
58,1,1,3,en011901
59,1,7,1,en012001
60,1,7,1,en012001
61,1,17,5,en012501
62,1,17,5,en012501
63,1,17,5,en012501
64,1,17,5,en012501
65,1,18,1,en012601
66,1,18,1,en012601
67,1,18,1,en012601
68,1,18,1,en012601
69,1,18,1,en012601
70,1,18,1,en012601
71,1,18,1,en012601
72,1,18,1,en012601
73,1,9,7,en012701
74,1,9,7,en012701
75,1,9,7,en012701
76,1,9,7,en012701
77,1,1,1,en013001
78,1,1,1,en013002
79,1,1,1,en013101
80,1,10,1,en020301
81,1,1,1,en020302
82,1,13,1,en020301
83,1,1,1,en020302
84,1,10,1,en020301
85,1,13,1,en020301
86,1,23,1,en020401
87,1,23,1,en020401
88,1,23,1,en020402_n00
89,1,24,1,en020501
90,1,24,1,en020501
91,1,24,1,en020502_n00
92,4,14,1,en020601
