ID,File,PartsID,Name
1,en010201,1,arm_L
2,en010201,2,arm_R
3,en010201,3,head
4,en010201,4,dummy
5,en010204,1,arm_L
6,en010204,2,arm_R
7,en010204,3,head
8,en010204,4,dummy
9,en010301,1,beam
10,en010301,2,hand_L
11,en010301,3,hand_R
12,en010301,4,foot_L
13,en010301,5,foot_R
14,en010301,6,shol_L
15,en010301,7,shol_R
16,en010301,8,body
17,en010301,9,head
18,en010301,10,body2
19,en010301b,1,beam_L
20,en010301b,2,beam_R
21,en010301b,3,leg_L
22,en010301b,4,leg_R
23,en010301b,5,head
24,en010301b,6,body2
25,en010501,1,body
26,en010501,2,pod_L
27,en010501,3,pod_R
28,en010501,4,shol_L
29,en010501,5,shol_R
30,en010501,6,back
31,en010501,7,head
32,en010501,8,body2
33,en010601,1,Head
34,en010601,2,SoulderarmorA_L
35,en010601,3,SoulderarmorA_R
36,en010601,4,Body
37,en010601,5,Leg_L
38,en010601,6,Leg_R
39,en010601_sq005,1,Head
40,en010601_sq005,2,SoulderarmorA_L
41,en010601_sq005,3,SoulderarmorA_R
42,en010601_sq005,4,Body
43,en010601_sq005,5,Leg_L
44,en010601_sq005,6,Leg_R
45,en010701,1,knee_LF
46,en010701,2,knee_RF
47,en010701,3,knee_LB
48,en010701,4,knee_RB
49,en010701,5,knee_CB
50,en010701,6,canon
51,en010701,7,front
52,en010701,8,top
53,en010702,1,knee_LF
54,en010702,2,knee_RF
55,en010702,3,knee_LB
56,en010702,4,knee_RB
57,en010702,5,knee_CB
58,en010702,6,canon
59,en010702,7,head
60,en010702,8,tail
61,en010702,9,shol_L
62,en010702,10,shol_R
63,en010801,1,drone_L
64,en010801,2,drone_R
65,en010801,3,tail
66,en010801,4,body
67,en010801,5,shol_L
68,en010801,6,shol_R
69,en010801,7,foot_L
70,en010801,8,foot_R
71,en010801,9,head
72,en010802,1,drone_L
73,en010802,2,drone_R
74,en010802,3,tail
75,en010802,4,body
76,en010802,5,shol_L
77,en010802,6,shol_R
78,en010802,7,foot_L
79,en010802,8,foot_R
80,en010802,9,head
81,en010802,10,dummy
82,en010901,1,arm_L
83,en010901,2,arm_R
84,en010901,3,head
85,en011001,1,canon
86,en011001,2,doroid
87,en011001,3,dm_L
88,en011001,4,dm_R
89,en011101,1,head
90,en011101,2,arm_L
91,en011101,3,arm_R
92,en011101,4,wepA_L
93,en011101,5,wepA_R
94,en011101,6,wepB_L
95,en011101,7,wepB_R
96,en011102,1,head
97,en011102,2,arm_L
98,en011102,3,arm_R
99,en011102,4,wepA_L
100,en011102,5,wepA_R
101,en011102,6,wepB_L
102,en011102,7,wepB_R
103,en011103,1,head
104,en011103,2,arm_L
105,en011103,3,arm_R
106,en011103,4,wepA_L
107,en011103,5,wepA_R
108,en011103,6,wepB_L
109,en011103,7,wepB_R
110,en011104,1,head
111,en011104,2,arm_L
112,en011104,3,arm_R
113,en011104,4,wepA_L
114,en011104,5,wepA_R
115,en011104,6,wepB_L
116,en011104,7,wepB_R
117,en011201,1,ring
118,en011201,2,gun_L
119,en011201,3,gun_R
120,en011201,4,pod_L
121,en011201,5,pod_R
122,en011302,1,parts_L
123,en011302,2,parts_R
124,en011302,3,mark
