ID,name
1,"漂流者"
2,"强袭兵"
3,"武士枪手"
4,"将军剑士"
5,"盾斗士"
6,"重装打击者"
7,"突击兵"
8,"剑牙士"
9,"全金属猎豹"
10,"长枪士"
11,"星辉十字军"
12,"后援士"
13,"精神探求者"
14,"精英谋略士"
15,"爆裂剑士"
16,"银河骑士"
17,"Drifter"
18,"Assault"
19,"Samurai Gun"
20,"General Sword"
21,"Shield Battler"
22,"Heavy Striker"
23,"Commando"
24,"Sword Fang"
25,"FullMetal Jaguar"
26,"Long Lancer"
27,"Star Crusader"
28,"Forcer"
29,"Psy Seeker"
30,"Elite Planner"
31,"Blast Fencer"
32,"Galaxy Knight"
33,"将军剑士 改"
34,"盾斗士 改"
35,"武士枪手 改"
36,"爆裂剑士 改"
37,"精神探求者 改"
38,"剑牙士 改"
39,"长枪士 改"
40,"全金属猎豹 改"
41,"银河骑士 改"
