ID,name
1,"世界兽的头盖骨碎片"
2,"世界兽的左翼碎片"
3,"世界兽的右翼碎片"
4,"世界兽的左羽碎片"
5,"世界兽的右羽碎片"
6,"世界兽的背甲碎片"
7,"世界兽的尾巴碎片"
8,""
9,""
10,""
11,""
12,""
13,""
14,""
15,"行星兽的头盖骨碎片"
16,"行星兽的胸廓碎片"
17,"行星兽的心脏碎片"
18,"行星兽的左翼碎片"
19,"行星兽的右翼碎片"
20,"行星兽的背甲碎片"
21,"行星兽的尾巴碎片"
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,"从“生命统治者”身上得到的 巨大头盖骨碎片。 只有尽量收集更多样本分析， 才能得知其价值。"
30,"从“生命统治者”身上剥下的 左翼鳞片碎片。 只有尽量收集更多样本分析， 才能得知其价值。"
31,"从“生命统治者”身上剥下的 右翼鳞片碎片。 只有尽量收集更多样本分析， 才能得知其价值。"
32,"从“生命统治者”身上掉落的 左羽碎片。 只有尽量收集更多样本分析， 才能得知其价值。"
33,"从“生命统治者”身上掉落的 右羽碎片。 只有尽量收集更多样本分析， 才能得知其价值。"
34,"从“生命统治者”身上削下的 坚固背甲碎片。 只有尽量收集更多样本分析， 才能得知其价值。"
35,"从“生命统治者”身上切下的 尾巴碎片。 只有尽量收集更多样本分析， 才能得知其价值。"
36,""
37,""
38,""
39,""
40,""
41,""
42,""
43,"从毁灭行星兽身上剥离的 头盖骨碎片。 只有尽量收集更多样本分析， 才能得知其价值。"
44,"从毁灭行星兽身上切下的 厚实胸廓碎片。 只有尽量收集更多样本分析， 才能得知其价值。"
45,"从毁灭行星兽身上得到的 心肌纤维碎片。 只有尽量收集更多样本分析， 才能得知其价值。"
46,"从毁灭行星兽身上切下的 柔软左翼碎片。 只有尽量收集更多样本分析， 才能得知其价值。"
47,"从毁灭行星兽身上切下的 柔软右翼碎片。 只有尽量收集更多样本分析， 才能得知其价值。"
48,"从毁灭行星兽身上剥下的 坚固背甲碎片。 只有尽量收集更多样本分析， 才能得知其价值。"
49,"从毁灭行星兽身上得到的 巨大尾羽碎片。 只有尽量收集更多样本分析， 才能得知其价值。"
50,""
51,""
52,""
53,""
54,""
55,""
56,""
