ID,name
1,""
2,""
3,""
4,""
5,""
6,""
7,""
8,""
9,""
10,""
11,""
12,""
13,""
14,""
15,""
16,""
17,""
18,""
19,""
20,""
21,""
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,""
30,""
31,""
32,""
33,""
34,""
35,""
36,""
37,""
38,""
39,""
40,""
41,"Heaume fichu"
42,"Body fichu"
43,"Manche fichue D"
44,"Manche fichue G"
45,"Jambières fichues"
46,"SK20SA L-TÊTE-VIT"
47,"SK20SA L-CORPS-VIT"
48,"SK20SA L-BRASD-VIT"
49,"SK20SA L-BRASG-VIT"
50,"SK20SA L-JAMBES-VIT"
51,"SK30SA L-TÊTE-VIT"
52,"SK30SA L-CORPS-VIT"
53,"SK30SA L-BRASD-VIT"
54,"SK30SA L-BRASG-VIT"
55,"SK30SA L-JAMBES-VIT"
56,"SK40SA L-TÊTE-VIT"
57,"SK40SA L-CORPS-VIT"
58,"SK40SA L-BRASD-VIT"
59,"SK40SA L-BRASG-VIT"
60,"SK40SA L-JAMBES-VIT"
61,"SK50SA L-TÊTE-VIT"
62,"SK50SA L-CORPS-VIT"
63,"SK50SA L-BRASD-VIT"
64,"SK50SA L-BRASG-VIT"
65,"SK50SA L-JAMBES-VIT"
66,"SK60SA L-TÊTE-VIT"
67,"SK60SA L-CORPS-VIT"
68,"SK60SA L-BRASD-VIT"
69,"SK60SA L-BRASG-VIT"
70,"SK60SA L-JAMBES-VIT"
71,"SK20SA L-TÊTE-ATQ"
72,"SK20SA L-CORPS-ATQ"
73,"SK20SA L-BRASD-ATQ"
74,"SK20SA L-BRASG-ATQ"
75,"SK20SA L-JAMBES-ATQ"
76,"SK30SA L-TÊTE-ATQ"
77,"SK30SA L-CORPS-ATQ"
78,"SK30SA L-BRASD-ATQ"
79,"SK30SA L-BRASG-ATQ"
80,"SK30SA L-JAMBES-ATQ"
81,"SK40SA L-TÊTE-ATQ"
82,"SK40SA L-CORPS-ATQ"
83,"SK40SA L-BRASD-ATQ"
84,"SK40SA L-BRASG-ATQ"
85,"SK40SA L-JAMBES-ATQ"
86,"SK50SA L-TÊTE-ATQ"
87,"SK50SA L-CORPS-ATQ"
88,"SK50SA L-BRASD-ATQ"
89,"SK50SA L-BRASG-ATQ"
90,"SK50SA L-JAMBES-ATQ"
91,"SK60SA L-TÊTE-ATQ"
92,"SK60SA L-CORPS-ATQ"
93,"SK60SA L-BRASD-ATQ"
94,"SK60SA L-BRASG-ATQ"
95,"SK60SA L-JAMBES-ATQ"
96,"SK20GG L-TÊTE-DÉF"
97,"SK20GG L-CORPS-DÉF"
98,"SK20GG L-BRASD-DÉF"
99,"SK20GG L-BRASG-DÉF"
100,"SK20GG L-JAMBES-DÉF"
101,"SK30GG L-TÊTE-DÉF"
102,"SK30GG L-CORPS-DÉF"
103,"SK30GG L-BRASD-DÉF"
104,"SK30GG L-BRASG-DÉF"
105,"SK30GG L-JAMBES-DÉF"
106,"SK40GG L-TÊTE-DÉF"
107,"SK40GG L-CORPS-DÉF"
108,"SK40GG L-BRASD-DÉF"
109,"SK40GG L-BRASG-DÉF"
110,"SK40GG L-JAMBES-DÉF"
111,"SK50GG L-TÊTE-DÉF"
112,"SK50GG L-CORPS-DÉF"
113,"SK50GG L-BRASD-DÉF"
114,"SK50GG L-BRASG-DÉF"
115,"SK50GG L-JAMBES-DÉF"
116,"SK60GG L-TÊTE-DÉF"
117,"SK60GG L-CORPS-DÉF"
118,"SK60GG L-BRASD-DÉF"
119,"SK60GG L-BRASG-DÉF"
120,"SK60GG L-JAMBES-DÉF"
