id,name
1,"Fragment de crâne du Maître"
2,"Aile du Maître (G)"
3,"Aile du Maître (D)"
4,"Plume du Maître (G)"
5,"Plume du Maître (D)"
6,"Bout de cuirasse du Maître"
7,"Bout de queue du Maître"
8,""
9,""
10,""
11,""
12,""
13,""
14,""
15,"Fragment de crâne de bête"
16,"Fragment de buste de bête"
17,"Bout de cœur de bête"
18,"Aile de bête (G)"
19,"Aile de bête (D)"
20,"Bout de cuirasse de bête"
21,"Bout de queue de bête"
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,"Énorme fragment de crâne du Maître du Destin. Rassemblez-en un maximum afin de les analyser et d'établir leur valeur."
30,"Un fragment de l'aile gauche du Maître du Destin. Rassemblez-en un maximum afin de les analyser et d'établir leur valeur."
31,"Un fragment de l'aile droite du Maître du Destin. Rassemblez-en un maximum afin de les analyser et d'établir leur valeur."
32,"Une plume provenant de l'aile gauche du Maître du Destin. Rassemblez-en un maximum afin de les analyser et d'établir leur valeur."
33,"Une plume provenant de l'aile droite du Maître du Destin. Rassemblez-en un maximum afin de les analyser et d'établir leur valeur."
34,"Fragment résistant de la cuirasse du Maître du Destin. Rassemblez-en un maximum afin de les analyser et d'établir leur valeur."
35,"Fragment de queue du Maître du Destin. Rassemblez-en un maximum afin de les analyser et d'établir leur valeur."
36,""
37,""
38,""
39,""
40,""
41,""
42,""
43,"Fragment de crâne d'une bête destructrice de planète. Rassemblez-en un maximum afin de les analyser et d'établir  leur valeur."
44,"Épais fragment de buste d'une bête destructrice de planète. Rassemblez-en un maximum afin de les analyser et d'établir leur valeur."
45,"Morceau de cœur d'une bête destructrice de planète. Rassemblez-en un maximum afin de les analyser et d'établir leur valeur."
46,"Douce aile gauche d'une bête destructrice de planète. Rassemblez-en un maximum afin de les analyser et d'établir leur valeur."
47,"Douce aile droite d'une bête destructrice de planète. Rassemblez-en un maximum afin de les analyser et d'établir leur valeur."
48,"Solide fragment de cuirasse d'une bête destructrice de planète. Rassemblez-en un maximum afin de les analyser et d'établir leur valeur."
49,"Gigantesque rectrice d'une bête destructrice de planète. Rassemblez-en un maximum afin de les analyser et d'établir leur valeur."
50,""
51,""
52,""
53,""
54,""
55,""
56,""
