id,name
1,"Terminal de Conner"
2,"Verre de pare-brise"
3,"Montre de Bobby"
4,"Sève de nodorameau"
5,"Légen-dar"
6,"Légen-dar malodorant"
7,"Tranche de pain"
8,"Gemme bleu marine"
9,"Gros homard en peluche"
10,"Homard en peluche"
11,"Bon pour un repas"
12,"Os de suid"
13,"Kit de chasse ma-non"
14,"Carte Blatta bronze"
15,"Carte Cinicula bronze"
16,"Carte Pétramand bronze"
17,"Carte Simius argent"
18,"Carte Évello argent"
19,"Carte Xiphias argent"
20,"Carte Mortifole argent"
21,"Carte Nopon-potamus or"
22,""
23,"Perle naturelle"
24,""
25,""
26,""
27,""
28,""
29,""
30,""
31,""
32,"Or blanc"
33,"Clé de Briggs"
34,"Clé de Fosdyke"
35,"Clé de Moorehouse"
36,""
37,""
38,""
39,"Mot de Quegga"
40,""
41,""
42,"Carte magnétique"
43,""
44,""
45,""
46,""
47,"Carte d’accès d’Ajoa"
48,""
49,""
50,""
51,"Gâteau glacé"
52,"Bouteille de Malyteth"
53,""
54,""
55,"Contrat nopon"
56,""
57,"Gemme nopone"
58,""
59,""
60,""
61,"Bracelet de Vi Sezha"
62,"Dague de Ge Jewhe"
63,""
64,""
65,"Pierre d’alliance"
66,""
67,""
68,"Colis de Zazazan"
69,"Container dangereux"
70,"Pile dangereuse"
71,"Reconnaissance de dette"
72,"Anneau de saphir"
73,""
74,""
75,""
76,""
77,""
78,""
79,""
80,""
81,""
82,"Feuille de lumenoa"
83,"Gorkwa"
84,"Bras droit de Run'tonam"
85,""
86,""
87,"Gorkwa de Troylan"
88,""
89,""
90,"Pièces de la Grande Blanche"
91,""
92,""
93,""
94,"Carte d’accès de Ian"
95,"Cadeau de Nalu"
96,"Lunettes à papapon"
97,"Lettre de Dodonga"
98,"Lettre de Dorian"
99,"Pièce wrothianne"
100,"Kit médical"
101,"Clé du camp de détention"
102,""
103,"Permis Skell"
104,""
105,""
106,""
107,"Pièces de la Grande Blanche"
108,"Câble d’alimentation L-002"
109,"Certificat de permis Skell"
110,""
111,""
112,""
113,""
114,"Échantillon de tissu"
115,"Terminal de Mia"
116,"Graine d'arbre phosphoreux"
117,"Clé du container"
118,""
119,""
120,""
121,"Pizza grenade"
122,"Pizza surgelée"
123,"Clé d’Ajiba"
124,"Clé de Mujiba"
125,"Tenue de danseuse"
126,"Larme grenat"
127,""
128,""
129,""
130,""
131,""
132,""
133,""
134,""
135,"Schéma de nouvelle arme"
136,""
137,"Lunettes d’invocation"
138,"Eau senirapa"
139,""
140,"Diamant zirto"
141,"Disque de Golbogga"
142,""
143,"Sève tykki"
144,""
145,"Carte magnétique grise"
146,"Coffre rectangulaire"
147,""
148,""
149,""
150,""
151,""
152,""
153,"Cargaison de Kuta"
154,""
155,"Aérozium"
156,"Écaille éthérée solide"
157,""
158,""
159,""
160,""
161,""
162,""
163,"Clé du bastion Hilal"
164,"Bras g. de miméosome"
165,"Nouvelle plante L-002"
166,"Journal du révérend"
167,"Flemtide"
168,"Éclat de pierre-flotte"
169,"Fourrure sanglante"
170,"Pendentif de Law"
171,"Trois épées"
172,"Collier de perles"
173,"Unité de données FN093"
174,"Kit de réparation"
175,"Alliage d’Aganeba"
176,"Débris de cockpit"
177,"Débris de moteur"
178,"Débris du Zu Pharg"
179,"Ferraille"
180,"Unité de données FN094"
181,"Tête de miméosome"
182,"Torse de miméosome"
183,"Jambe g. de miméosome"
184,"Jambe d. de miméosome"
185,"Clé de la barrière 1"
186,""
187,"Mousse nettoyante"
188,"Médaillon"
189,"Sable étoile"
190,"Cristal violet"
191,"Relique d’Émerian"
192,"Lecteur manquant"
193,"Sonde cassée"
194,"Cœur de pierre"
195,""
196,""
197,"Pierre du mont M'gando"
198,"Herbe gélatine"
199,"Débris de prototype"
200,""
201,""
202,""
203,"Bouteille d’échantillonnage"
204,"Carte du système solaire"
205,"Hamburger"
206,"Hot-dog"
207,"Unité de données FN095"
208,"Unité de données FN096"
209,"Unité de données FN097"
210,"Sonde d’entraînement"
211,"Bombe chimique toxique"
212,"Kit médical"
213,"Soie supérieure"
214,"Unité de données FN098"
215,"Épée de Légendari-pon"
216,"Épée indestructible"
217,"Voltant"
218,"Carte magnétique"
219,"Gorkwa de Troylan"
220,"Élixir traditionnel orphéen"
221,"Données d'arme de test"
222,"Clé de la barrière 2"
223,"Clé de la barrière 3"
224,"Phogrium"
225,"Gros fragment d’anneau"
226,"Débris des ruines de la butte"
227,"Rocher énigme de Côte nord"
228,"Données de communication"
229,"Données médicales"
230,"Cartouche d'énergie"
231,"Conner a laissé tomber ce terminal alors qu’il fuyait des indigènes."
232,"Le pare-brise d’un véhicule militaire. Très convoité puisque le verre terrien est devenu assez rare."
233,"Une montre-bracelet appartenant à un jeune homme que Pauline voyait comme un fils. On peut y lire : « Que ma mère, Pauline, me protège. »"
234,"Sève produite par des arbres géants qui poussent au plus profond de Noctilum. Ses propriétés accélèrent grandement la croissance."
235,"Ancien appareil nopon faisant office de radar. Il détecte les faibles signaux des objets légendaires."
236,"Un radar permettant de trouver les anciens artéfacts nopons. Trouvé dans l’estomac d’un indigène, il sent très fort."
237,"Un morceau de pain, conservé par Moîmoî, affamé, pour son frère."
