ID,name
1,""
2,""
3,""
4,""
5,""
6,""
7,""
8,""
9,""
10,""
11,""
12,""
13,""
14,""
15,""
16,""
17,""
18,""
19,""
20,""
21,""
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,""
30,""
31,""
32,""
33,""
34,""
35,""
36,""
37,""
38,""
39,""
40,""
41,"Ruinierte Panzerung"
42,"Ruinierte Panzerung"
43,"Ruinierte Panzerung"
44,"Ruinierte Panzerung"
45,"Ruinierte Panzerung"
46,"SK20SA L-KOPF-AGI"
47,"SK20SA L-RUMPF-AGI"
48,"SK20SA L-RARM-AGI"
49,"SK20SA L-LARM-AGI"
50,"SK20SA L-BEINE-AGI"
51,"SK30SA L-KOPF-AGI"
52,"SK30SA L-RUMPF-AGI"
53,"SK30SA L-RARM-AGI"
54,"SK30SA L-LARM-AGI"
55,"SK30SA L-BEINE-AGI"
56,"SK40SA L-KOPF-AGI"
57,"SK40SA L-RUMPF-AGI"
58,"SK40SA L-RARM-AGI"
59,"SK40SA L-LARM-AGI"
60,"SK40SA L-BEINE-AGI"
61,"SK50SA L-KOPF-AGI"
62,"SK50SA L-RUMPF-AGI"
63,"SK50SA L-RARM-AGI"
64,"SK50SA L-LARM-AGI"
65,"SK50SA L-BEINE-AGI"
66,"SK60SA L-KOPF-AGI"
67,"SK60SA L-RUMPF-AGI"
68,"SK60SA L-RARM-AGI"
69,"SK60SA L-LARM-AGI"
70,"SK60SA L-BEINE-AGI"
71,"SK20SA L-KOPF-ANG"
72,"SK20SA L-RUMPF-ANG"
73,"SK20SA L-RARM-ANG"
74,"SK20SA L-LARM-ANG"
75,"SK20SA L-BEINE-ANG"
76,"SK30SA L-KOPF-ANG"
77,"SK30SA L-RUMPF-ANG"
78,"SK30SA L-RARM-ANG"
79,"SK30SA L-LARM-ANG"
80,"SK30SA L-BEINE-ANG"
81,"SK40SA L-KOPF-ANG"
82,"SK40SA L-RUMPF-ANG"
83,"SK40SA L-RARM-ANG"
84,"SK40SA L-LARM-ANG"
85,"SK40SA L-BEINE-ANG"
86,"SK50SA L-KOPF-ANG"
87,"SK50SA L-RUMPF-ANG"
88,"SK50SA L-RARM-ANG"
89,"SK50SA L-LARM-ANG"
90,"SK50SA L-BEINE-ANG"
91,"SK60SA L-KOPF-ANG"
92,"SK60SA L-RUMPF-ANG"
93,"SK60SA L-RARM-ANG"
94,"SK60SA L-LARM-ANG"
95,"SK60SA L-BEINE-ANG"
96,"SK20GG L-KOPF-VER"
97,"SK20GG L-RUMPF-VER"
98,"SK20GG L-RARM-VER"
99,"SK20GG L-LARM-VER"
100,"SK20GG L-BEINE-VER"
101,"SK30GG L-KOPF-VER"
102,"SK30GG L-RUMPF-VER"
103,"SK30GG L-RARM-VER"
104,"SK30GG L-LARM-VER"
105,"SK30GG L-BEINE-VER"
106,"SK40GG L-KOPF-VER"
107,"SK40GG L-RUMPF-VER"
108,"SK40GG L-RARM-VER"
109,"SK40GG L-LARM-VER"
110,"SK40GG L-BEINE-VER"
111,"SK50GG L-KOPF-VER"
112,"SK50GG L-RUMPF-VER"
113,"SK50GG L-RARM-VER"
114,"SK50GG L-LARM-VER"
115,"SK50GG L-BEINE-VER"
116,"SK60GG L-KOPF-VER"
117,"SK60GG L-RUMPF-VER"
118,"SK60GG L-RARM-VER"
119,"SK60GG L-LARM-VER"
120,"SK60GG L-BEINE-VER"
121,"SK20SA M-KOPF-NAH"
122,"SK20SA M-RUMPF-NAH"
123,"SK20SA M-RARM-NAH"
124,"SK20SA M-LARM-NAH"
125,"SK20SA M-BEINE-NAH"
