ID,name
1,"Novize"
2,"Gardist"
3,"Samurai-Pistolero"
4,"Elite-Duellant"
5,"Protektor"
6,"Bollwerk"
7,"Stürmer"
8,"Aero-Viper"
9,"Titan-Jaguar"
10,"Stratos-Adler"
11,"Meteor-Harpyie"
12,"Repressor"
13,"Manipulator"
14,"Mentor"
15,"Ekto-Induktor"
16,"Helio-Paladin"
17,"Novize"
18,"Gardist"
19,"Samurai-Pistolero"
20,"Elite-Duellant"
21,"Protektor"
22,"Bollwerk"
23,"Stürmer"
24,"Aero-Viper"
25,"Titan-Jaguar"
26,"Stratos-Adler"
27,"Meteor-Harpyie"
28,"Repressor"
29,"Manipulator"
30,"Mentor"
31,"Ekto-Induktor"
32,"Helio-Paladin"
33,"Elite-Duellant+"
34,"Protektor+"
35,"Samurai-Pistolero+"
36,"Ekto-Induktor+"
37,"Manipulator+"
38,"Aero-Viper+"
39,"Stratos-Adler+"
40,"Titan-Jaguar+"
41,"Helio-Paladin+"
