ID,name
1,"Spieler 1"
2,""
3,""
4,""
5,""
6,"Nagi"
7,"L"
8,"Lao"
9,"H. B."
10,"Gwin"
11,"Frye"
12,"Doug"
13,"Yelv"
14,"Bozé"
15,"Phog"
16,"Elma"
17,"Lin"
18,"Celica"
19,"Irina"
20,"Mardres"
21,"Alexa"
22,"Hope"
23,"Mia"
24,""
25,""
26,""
27,""
28,""
29,""
30,""
31,""
32,""
33,""
34,""
35,""
36,""
37,""
38,""
39,""
40,""
41,""
42,""
43,""
44,""
45,""
46,""
47,""
48,""
49,""
50,""
51,""
52,""
53,""
54,""
55,""
56,""
57,""
58,""
59,""
60,""
61,""
62,""
63,""
64,""
65,""
66,""
67,""
68,""
69,""
70,""
71,""
72,""
73,""
74,""
75,""
76,""
77,""
78,""
79,""
80,""
81,"Neilnail"
82,"Liesel"
83,"Al"
84,"Ga Jiarg"
