id,name
1,"PLAN-N0101SS"
2,"PLAN-N0102SS"
3,"PLAN-N0201LS"
4,"PLAN-N0202OP"
5,"PLAN-N0203SS"
6,"PLAN-N0204SS"
7,"PLAN-N0301NP"
8,"PLAN-N0302OP"
9,"PLAN-N0303OP"
10,"PLAN-N0401LS"
11,"PLAN-N0402LS"
12,"PLAN-N0403NP"
13,"PLAN-N0501LS"
14,"PLAN-N0502OP"
15,"PLAN-N0503SS"
16,"PLAN-N0601SS"
17,"PLAN-N0602SS"
18,"PLAN-F0101LS"
19,"PLAN-F0102SS"
20,"PLAN-F0201LS"
21,"PLAN-F0202LS"
22,"PLAN-F0203LS"
23,"PLAN-F0204NP"
24,"PLAN-F0205SS"
25,"PLAN-F0301LS"
26,"PLAN-F0401LS"
27,"PLAN-F0402NP"
28,"PLAN-F0403OP"
29,"PLAN-F0501LS"
30,"PLAN-F0502NP"
31,"PLAN-F0503SS"
32,"PLAN-F0504SS"
33,"PLAN-F0601LS"
34,"PLAN-F0602NP"
35,"PLAN-F0603OP"
36,"PLAN-N0101SA"
37,"PLAN-N0102GG"
38,"PLAN-N0103SA"
39,"PLAN-N0201SA"
40,"PLAN-N0202GG"
41,"PLAN-N0203SA"
42,"PLAN-N0301SA"
43,"PLAN-N0302GG"
44,"PLAN-N0303SA"
45,"PLAN-N0401GG"
46,"PLAN-N0402SA"
47,"PLAN-N0403GG"
48,"PLAN-N0501SA"
49,"PLAN-N0502GG"
50,"PLAN-N0503SA"
51,"PLAN-N0601GG"
52,"PLAN-N0602SA"
53,"PLAN-N0603GG"
54,"PLAN-F0101SA"
55,"PLAN-F0102GG"
56,"PLAN-F0103SA"
57,"PLAN-F0201SA"
58,"PLAN-F0202GG"
59,"PLAN-F0203SA"
60,"PLAN-F0301GG"
61,"PLAN-F0302SA"
62,"PLAN-F0303GG"
63,"PLAN-F0401SA"
64,"PLAN-F0402GG"
65,"PLAN-F0403SA"
66,"PLAN-F0501SA"
67,"PLAN-F0502GG"
68,"PLAN-F0503SA"
69,"PLAN-F0601GG"
70,"PLAN-F0602SA"
71,"PLAN-F0603GG"
72,"PLAN-K0101SS"
73,"PLAN-K0102SS"
74,"PLAN-K0103SS"
75,"PLAN-K0104SS"
76,"PLAN-K0105SS"
77,"PLAN-K0106SS"
78,"PLAN-F1306FC"
79,"„Brecher der Meister“ Konstruktionsplan xenoformer Entwickler für ein experimentelles Langschwert."
80,"„Brecher der Meister II“ Konstruktionsplan xenoformer Entwickler für ein experimentelles Langschwert."
81,"„Originalschnibbler“ Konstruktionsplan xenoformer Entwickler für ein Paar experimenteller Kurzschwerter."
82,"„Original-Watxes“ Konstruktionsplan xenoformer Entwickler für ein Paar experimenteller Kurzschwerter."
83,"„Schnitter der Meister II“ Konstruktionsplan xenoformer Entwickler für ein Paar experimenteller Kurzschwerter."
84,"„Schnitter der Meister“ Konstruktionsplan xenoformer Entwickler für ein Paar experimenteller Kurzschwerter."
85,"„Originalstichling“ Konstruktionsplan xenoformer Entwickler für ein experimentelles Messer."
86,"„Original-Iyst“ Konstruktionsplan xenoformer Entwickler für ein experimentelles Messer."
87,"„Original-Iyst II“ Konstruktionsplan xenoformer Entwickler für ein experimentelles Messer."
88,"„Originalschützer“ Konstruktionsplan xenoformer Entwickler für einen experimentellen Schild."
89,"„Originalschützer II“ Konstruktionsplan xenoformer Entwickler für einen experimentellen Schild."
90,"„Originalwehrling“ Konstruktionsplan xenoformer Entwickler für einen experimentellen Schild."
91,"„Originalpiekser“ Konstruktionsplan xenoformer Entwickler für einen experimentellen Speer."
92,"„Original-Jyth“ Konstruktionsplan xenoformer Entwickler für einen experimentellen Speer."
93,"„Gleve der Meister“ Konstruktionsplan xenoformer Entwickler für einen experimentellen Speer."
94,"„Lichtklinge der Meister“ Konstruktionsplan xenoformer Entwickler für eine experimentelle Photonenklinge."
95,"„Lichtklinge der Meister II“ Konstruktionsplan xenoformer Entwickler für eine experimentelle Photonenklinge."
96,"„Original-Quälgeist“ Konstruktionsplan xenoformer Entwickler für ein experimentelles Sturmgewehr."
97,"„Kugelhagel der Meister“ Konstruktionsplan xenoformer Entwickler für ein experimentelles Sturmgewehr."
98,"„Originalpärchen“ Konstruktionsplan xenoformer Entwickler für experimentelle Zwillingspistolen."
99,"„Originalpärchen III“ Konstruktionsplan xenoformer Entwickler für experimentelle Zwillingspistolen."
100,"„Originalpärchen II“ Konstruktionsplan xenoformer Entwickler für experimentelle Zwillingspistolen."
101,"„Original-Piffpaffs“ Konstruktionsplan xenoformer Entwickler für experimentelle Zwillingspistolen."
102,"„Blutregen der Meister“ Konstruktionsplan xenoformer Entwickler für experimentelle Zwillingspistolen."
103,"„Originalbrutzler“ Konstruktionsplan xenoformer Entwickler für eine experimentelle Strahlenkanone."
104,"„Original-Griesgram“ Konstruktionsplan xenoformer Entwickler für eine experimentelle Gatling."
105,"„Original-Rattata“ Konstruktionsplan xenoformer Entwickler für eine experimentelle Gatling."
106,"„Original-Zuyse“ Konstruktionsplan xenoformer Entwickler für eine experimentelle Gatling."
107,"„Original-Knallbüchse“ Konstruktionsplan xenoformer Entwickler für ein experimentelles Präzisionsgewehr."
108,"„Original-Pengpeng“ Konstruktionsplan xenoformer Entwickler für ein experimentelles Präzisionsgewehr."
109,"„Todespfeil der Meister“ Konstruktionsplan xenoformer Entwickler für ein experimentelles Präzisionsgewehr."
110,"„Todespfeil der Meister II“ Konstruktionsplan xenoformer Entwickler für ein experimentelles Präzisionsgewehr."
111,"„Original-Dauerweller“ Konstruktionsplan xenoformer Entwickler für ein Paar experimenteller Disruptoren."
112,"„Original-Flauschwerfer“ Konstruktionsplan xenoformer Entwickler für ein Paar experimenteller Disruptoren."
113,"„Original-Zorcyses“ Konstruktionsplan xenoformer Entwickler für ein Paar experimenteller Disruptoren."
