id,name
1,"Schädel der Hüterin"
2,"Flügel der Hüterin (L)"
3,"Flügel der Hüterin (R)"
4,"Gefieder der Hüterin (L)"
5,"Gefieder der Hüterin (R)"
6,"Panzer der Hüterin"
7,"Schwanz der Hüterin"
8,""
9,""
10,""
11,""
12,""
13,""
14,""
15,"Schädel des Zerstörers"
16,"Rumpf des Zerstörers"
17,"Herz des Zerstörers"
18,"Flügel des Zerstörers (L)"
19,"Flügel des Zerstörers (R)"
20,"Panzer des Zerstörers"
21,"Schwanz des Zerstörers"
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,"Ein riesiges Fragment aus dem Schädel der Hüterin der Geschicke. Sammle so viele wie möglich, um sie zu analysieren und ihren Wert zu bestimmen."
30,"Ein Fragment aus dem linken Flügel der Hüterin der Geschicke. Sammle so viele wie möglich, um sie zu analysieren und ihren Wert zu bestimmen."
31,"Ein Fragment aus dem rechten Flügel der Hüterin der Geschicke. Sammle so viele wie möglich, um sie zu analysieren und ihren Wert zu bestimmen."
32,"Ein Fragment aus der linken Seite des Gefieders der Hüterin der Geschicke. Sammle so viele wie möglich, um sie zu analysieren und ihren Wert zu bestimmen."
33,"Ein Fragment aus der rechten Seite des Gefieders der Hüterin der Geschicke. Sammle so viele wie möglich, um sie zu analysieren und ihren Wert zu bestimmen."
34,"Ein massives Fragment aus dem Panzer der Hüterin der Geschicke. Sammle so viele wie möglich, um sie zu analysieren und ihren Wert zu bestimmen."
35,"Ein Fragment aus dem Schwanz der Hüterin der Geschicke. Sammle so viele wie möglich, um sie zu analysieren und ihren Wert zu bestimmen."
36,""
37,""
38,""
39,""
40,""
41,""
42,""
43,"Ein Knochenfragment aus dem Schädel des Zerstörers der Planeten. Sammle so viele wie möglich, um sie zu analysieren und ihren Wert zu bestimmen."
44,"Ein Knochenfragment aus dem Rumpf des Zerstörers der Planeten. Sammle so viele wie möglich, um sie zu analysieren und ihren Wert zu bestimmen."
45,"Eine Muskelfaser aus dem Herz des Zerstörers der Planeten. Sammle so viele wie möglich, um sie zu analysieren und ihren Wert zu bestimmen."
46,"Eine Muskelfaser aus dem linken Flügel des Zerstörers der Planeten. Sammle so viele wie möglich, um sie zu analysieren und ihren Wert zu bestimmen."
47,"Eine Muskelfaser aus dem rechten Flügel des Zerstörers der Planeten. Sammle so viele wie möglich, um sie zu analysieren und ihren Wert zu bestimmen."
48,"Ein massives Fragment aus dem Panzer des Zerstörers der Planeten. Sammle so viele wie möglich, um sie zu analysieren und ihren Wert zu bestimmen."
49,"Eine Schwanzfeder des Zerstörers der Planeten. Sammle so viele wie möglich, um sie zu analysieren und ihren Wert zu bestimmen."
50,""
51,""
52,""
53,""
54,""
55,""
56,""
