ID,name
1,"Conners Comm-Gerät"
2,"Windschutzscheibe"
3,"Bobbys Uhr"
4,"Knorrenzweigsaft"
5,"Legen-dar"
6,"Stinkendes Legen-dar"
7,"Scheibe Brot"
8,"Tiefblaues Juwel"
9,"Großer Plüschhummer"
10,"Plüschhummer"
11,"Essensgutschein"
12,"Suidknochen"
13,"Ma-non-Jagdausrüstung"
14,"Bronzene Blatta-Karte"
15,"Bronzene Cinicula-Karte"
16,"Bronzene Petramand-Karte"
17,"Silberne Simius-Karte"
18,"Silberne Evello-Karte"
19,"Silberne Xiphias-Karte"
20,"Silberne Mortifole-Karte"
21,"Goldene Nopopotamus-Karte"
22,""
23,"Süßwasserperle"
24,""
25,""
26,""
27,""
28,""
29,""
30,""
31,""
32,"Weißgold"
33,"Briggs’ Schlüssel"
34,"Fosdykes Schlüssel"
35,"Moorhouses Schlüssel"
36,""
37,""
38,""
39,"Queggas Nachricht"
40,""
41,""
42,"Schlüsselkarte"
43,""
44,""
45,""
46,""
47,"Ajoas Schlüsselkarte"
48,""
49,""
50,""
51,"Eiscremetorte"
52,"Malyteths Flasche"
53,""
54,""
55,"Nopon-Verträge"
56,""
57,"Nopon-Juwel"
58,""
59,""
60,""
61,"Vi Sezhas Silberreif"
62,"Ge Jewhes Dolch"
63,""
64,""
65,"Ringstein"
66,""
67,""
68,"Zazazans Lieferung"
69,"Gefahrgutbehälter"
70,"Brennstoffzelle"
71,"Nios Schuldschein"
72,"Saphirring"
73,""
74,""
75,""
76,""
77,""
78,""
79,""
80,""
81,""
82,"Lumenoablatt"
83,"Gorkwa"
84,"Run’tonams rechte Hand"
85,""
86,""
87,"Troylans Gorkwa"
88,""
89,""
90,"Bruchstück des Weißen Wals"
91,""
92,""
93,""
94,"Ians Schlüsselkarte"
95,"Nalus Geschenk"
96,"Papapons Brille"
97,"Dodongo-Vertrag"
98,"Dorian-Vertrag"
99,"Wrothianisches Bauteil"
100,"Erste-Hilfe-Set"
101,"Gefängnisschlüssel"
102,""
103,"Skell-Lizenz"
104,""
105,""
106,""
107,"Bruchstücke des Weißen Wals"
108,"Stromkabel L-002"
109,"Zertifikat zur Skell-Lizenz"
110,""
111,""
112,""
113,""
114,"DNS-Daten"
115,"Mias Comm-Gerät"
116,"Phosphorbaumsamen"
117,"Containerschlüssel"
118,""
119,""
120,""
121,"Pizza Granata"
122,"Tiefkühlpizza"
123,"Ajiba Falgos Schlüssel"
124,"Mujiba Falgos Schlüssel"
125,"Tanzkleid"
126,"Blutrote Träne"
127,""
128,""
129,""
130,""
131,""
132,""
133,""
134,""
135,"Waffenbaupläne"
136,""
137,"Orphenbrille"
138,"Senirapa-Wasser"
139,""
140,"Zirto-Diamant"
141,"Golbogga-Datenträger"
142,""
