ID,name
1,"Avventuriero"
2,"Ariete"
3,"Artigliere samurai"
4,"Duellante"
5,"Soldato corazzato"
6,"Guerriero baluardo"
7,"Commando"
8,"Vipera alata"
9,"Giaguaro corazzato"
10,"Aquila guerriera"
11,"Paladino astrale"
12,"Sicario"
13,"Psicorruttore"
14,"Stratega superiore"
15,"Spadaccino esplosivo"
16,"Cavaliere galattico"
17,"Avventuriero"
18,"Ariete"
19,"Artigliere samurai"
20,"Duellante"
21,"Soldato corazzato"
22,"Guerriero baluardo"
23,"Commando"
24,"Vipera alata"
25,"Giaguaro corazzato"
26,"Aquila guerriera"
27,"Paladino astrale"
28,"Sicario"
29,"Psicorruttore"
30,"Stratega superiore"
31,"Spadaccino esplosivo"
32,"Cavaliere galattico"
33,"Duellante+"
34,"Soldato corazzato+"
35,"Artigliere Samurai+"
36,"Spadaccino esplosivo+"
37,"Psicorruttore+"
38,"Vipera alata+"
39,"Aquila guerriera+"
40,"Giaguaro corazz.+"
41,"Cavaliere galattico+"
