ID,name
1,""
2,"Pelle tirata"
3,"Pelle morbida"
4,"Spina dorsale dura"
5,""
6,"Pelo ispido"
7,"Muscolo logorato"
8,"Manto lanoso"
9,"Lingua vischiosa"
10,"Carne succulenta"
11,"Becco incrinato"
12,"Pietra opaca"
13,"Carne selvatica"
14,"Epitelio vischioso"
15,"Corno sottile"
16,"Cartilagine morbida"
17,"Gioiello graffiato"
18,"Cellula attiva"
19,"Nebbia nera"
20,"Ala lurida"
21,""
22,""
23,""
24,""
25,""
26,"Ala fragile d'insetto"
27,"Umore viscoso"
28,"Muco viscoso"
29,"Antenna rotta"
30,"Fauci d'insetto"
31,"Guscio piccolo"
32,"Chele rotte"
33,"Artiglio incrinato"
34,"Zampette d'insetto"
35,"Zampa d'insetto integra"
36,"Miele muschiato"
37,"Mascella d'insetto integra"
38,""
39,""
40,""
41,""
42,"Placca staccata"
43,""
44,"Leva migliore"
45,"Leva generica"
46,"Pinnetta dorsale"
47,"Membrana opaca"
48,"Carne marcia"
49,"Pesce puzzolente"
50,"Ventresca di pesce"
51,"Muco di mollusco"
52,"Baffi integri"
53,"Spicola integra"
54,"Pesce fresco"
55,"Fegato strano"
56,"Grasso di pesce"
57,"Membrana trasparente"
58,"Pelle di qualità"
59,"Squama di qualità"
60,"Retina brillante"
61,""
62,"Piuma vivace"
63,"Pelliccia leggera"
64,"Manto fangoso"
65,""
66,"Zampetta perforata"
67,""
68,""
69,""
70,""
71,""
72,""
73,""
74,"Abete dorato"
75,""
76,"Glifo Libertas"
77,"Armatura dorata"
78,"Nucleo argento Vitarth"
79,"Lente avanzata"
80,"Tavole duplici"
81,"Glifo Creatio"
82,"Scheda Octopus"
83,"Strano tentacolo fulmine"
84,"Ventosa Rexoskell"
85,"Glifo Tempus"
86,"Corazza d'acciaio nera"
87,"Medaglia al valore Vasara"
88,""
89,""
90,""
91,"Anti-Puge"
92,""
93,""
94,"Reattore rinforzato"
95,""
96,""
97,"Autodistruttore Puge"
98,"Reattore avanzato"
99,"Leva originale"
100,"Cilindro usato"
101,"Cilindro nuovo"
102,"Fusibile migliore"
103,"Lampada Pugilith"
104,""
105,""
106,""
107,"Spina generica"
108,"Spina rinforzata"
109,""
110,""
111,""
112,""
113,""
114,""
115,""
116,""
117,""
118,"Unità R.B."
119,"Unità T.P."
120,"Unità S.P."
121,"Unità E.M."
122,"Multi-filo"
123,"Unità O.X."
124,"Testa di Galdr"
125,"Disturbatore generico"
126,"Disturbatore potenziato"
127,""
128,"Capsula di Quo"
129,""
130,""
131,"Pistone rinforzato"
132,""
133,""
134,""
135,""
136,"Girobussola nera"
137,""
138,""
139,"Girobussola dorata"
140,""
141,""
142,""
143,"Bobina generica"
144,"Bobina potenziata"
145,""
146,"Grappolo elementale"
147,"Blasone nord Oc-serv"
148,"Blasone sud Oc-serv"
149,"Blasone ovest Oc-serv"
150,"Blasone est Oc-serv"
151,""
152,"Mano Oc-serv"
153,"Struttura originale"
154,"Struttura rinforzata"
155,"Faccia insanguinata"
156,""
157,""
158,""
159,""
160,""
161,""
162,"Tubo di energia"
163,"Glifo Lingua"
164,"Luce laser"
165,"Orecchio rosso di Deva"
166,""
167,"Lente potenziata"
168,""
169,"Camera originale"
170,"Camera avanzata"
171,"Leva avanzata"
172,"Metallo damasco"
173,"Metallo oricalco"
174,"Metallo ametista"
175,"Metallo turchese"
176,"Telecomando Seidr"
177,""
178,"Leva rinforzata"
179,"Albero superiore"
180,"Lama generica"
181,"Lama rinforzata"
182,"Occhio di Shrad"
183,"Corazza antica"
184,"Nucleo avanzato"
185,"Mano Xe-dom"
186,"Nucleo migliore"
187,"Blasone cremisi Xe-dom"
188,"Blasone corvino Xe-dom"
189,"Blasone dorato Xe-dom"
190,"Blasone argento Xe-dom"
191,""
192,"Asse generica"
193,"Lunghe antenne Zig"
194,"Asse originale"
195,"Asse superiore"
196,"Asse migliore"
197,""
198,""
199,"Condensatore Qmoeva"
200,"Parte di sensore generica"
201,"Parte di sensore avanzata"
202,"Parte di sensore di qualità"
203,""
204,"Jet rinforzato"
205,"Jet avanzato"
206,"Scaglia elementale"
207,"Blasone solare Fal-swo"
208,""
209,"Placca originale"
210,"Stabilizzatore dorato"
211,"Stabilizzatore nero"
212,"Stabilizzatore ocra"
213,"Stabilizzatore bianco"
214,"Glifo Spatium"
215,"Pezzo di scultura arcobaleno"
216,"Maschera di Neilnail grezza"
217,"Pillole da combattimento"
218,""
219,""
220,""
221,"Cinta trasparente di qualità"
