ID,name
1,"Cranio del Guardiano"
2,"Ala sinistra del Guardiano"
3,"Ala destra del Guardiano"
4,"Piuma sinistra del Guardiano"
5,"Piuma destra del Guardiano"
6,"Piastra del Guardiano"
7,"Coda del Guardiano"
8,""
9,""
10,""
11,""
12,""
13,""
14,""
15,"Cranio del Distruttore"
16,"Torso del Distruttore"
17,"Cuore del Distruttore"
18,"Ala sinistra del Distruttore"
19,"Ala destra del Distruttore"
20,"Piastra del Distruttore"
21,"Coda del Distruttore"
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,"Gigantesco frammento di cranio del Padrone dei Destini. Raccogline quanti più possibile per analizzarli e determinarne il valore."
30,"Pezzo dell'ala sinistra del Padrone dei Destini. Raccogline quanti più possibile per analizzarli e determinarne il valore."
31,"Pezzo dell'ala destra del Padrone dei Destini. Raccogline quanti più possibile per analizzarli e determinarne il valore."
32,"Frammento di piuma sinistra del Padrone dei Destini. Raccogline quanti più possibile per analizzarli e determinarne il valore."
33,"Frammento di piuma destra del Padrone dei Destini. Raccogline quanti più possibile per analizzarli e determinarne il valore."
34,"Frammento della corazza del Padrone dei Destini. Raccogline quanti più possibile per analizzarli e determinarne il valore."
35,"Frammento della coda del Padrone dei Destini. Raccogline quanti più possibile per analizzarli e determinarne il valore."
36,""
37,""
38,""
39,""
40,""
41,""
42,""
43,"Frammento di cranio di una bestia distruttrice di pianeti. Raccogline quanti più possibile per analizzarli e determinarne il valore."
44,"Spesso frammento di torace di una bestia distruttrice di pianeti. Raccogline quanti più possibile per analizzarli e determinarne il valore."
45,"Frammento di fibra muscolare preso dal cuore di una bestia distruttrice di pianeti. Raccogline quanti più possibile per analizzarli e determinarne il valore."
46,"Pezzetto della morbida ala sinistra di una bestia distruttrice di pianeti. Raccogline quanti più possibile per analizzarli e determinarne il valore."
47,"Pezzetto della morbida ala destra di una bestia distruttrice di pianeti. Raccogline quanti più possibile per analizzarli e determinarne il valore."
48,"Rigido frammento di guscio di una bestia distruttrice di pianeti. Raccogline quanti più possibile per analizzarli e determinarne il valore."
49,"Gigantesca piuma della coda di una bestia distruttrice di pianeti. Raccogline quanti più possibile per analizzarli e determinarne il valore."
50,""
51,""
52,""
53,""
54,""
55,""
56,""
