ID,name
1,"Ricetrasmittente di Conner"
2,"Parabrezza"
3,"Orologio di Bobby"
4,"Linfa di Ramonodoso"
5,"Leggen-dar"
6,"Leggen-dar puzzolente"
7,"Fetta di pane"
8,"Gemma blu profondo"
9,"Astice grande"
10,"Pupazzo Astice"
11,"Buono pasto"
12,"Ossa di Suid"
13,"Kit da caccia Ma-non"
14,"Carta Blathax bronzo"
15,"Carta Cinicula bronzo"
16,"Carta Petramand bronzo"
17,"Carta Simius argento"
18,"Carta Evellon argento"
19,"Carta Xiphias argento"
20,"Carta Mortifole argento"
21,"Carta Nopopotamus oro"
22,""
23,"Perla naturale"
24,""
25,""
26,""
27,""
28,""
29,""
30,""
31,""
32,"Oro bianco"
33,"Chiave di Briggs"
34,"Chiave di Fosdyke"
35,"Chiave di Moorhouse"
36,""
37,""
38,""
39,"Biglietto di Quegga"
40,""
41,""
42,"Chiave magnetica"
43,""
44,""
45,""
46,""
47,"Tessera di identità di Ajoa"
48,""
49,""
50,""
51,"Torta gelato"
52,"Bottiglia di Malyteth"
53,""
54,""
55,"Contratto Nopon"
56,""
57,"Gemma Nopon"
58,""
59,""
60,""
61,"Bracciale di Vi Sezha"
62,"Pugnale di Ge Jewhe"
63,""
64,""
65,"Pietra anello"
66,""
67,""
68,"Pacco di Zazazan"
69,"Recipiente pericoloso"
70,"Pila a combustibile instabile"
71,"Cambiale di Nio"
72,"Anello di zaffiro"
73,""
74,""
75,""
76,""
77,""
78,""
79,""
80,""
81,""
82,"Foglia Lumenoa"
83,"Gorkwa"
84,"Braccio destro di Run'tonam"
85,""
86,""
87,"Gorkwa di Troylan"
88,""
89,""
90,"Pezzi della Balena Bianca"
91,""
92,""
93,""
94,"Tessera di identità di Ian"
95,"Regalo di Nalu"
96,"Occhiali di babbopon"
97,"Trattato Dodonga"
98,"Trattato Dorian"
99,"Pezzo Wrothian"
100,"Kit medico"
101,"Chiave del campo Pron"
102,""
103,"Brevetto Skell"
104,""
105,""
106,""
107,"Pezzi della Balena Bianca"
108,"Cavo elettrico L-002"
109,"Attestato per Brevetto Skell"
110,""
111,""
112,""
113,""
114,"Campione di tessuto"
115,"Ricetrasmittente di Mia"
116,"Semi di albero fosforico"
117,"Chiave del container"
118,""
119,""
120,""
121,"Pizza Granata"
122,"Pizza congelata"
123,"Chiave di Ajiba"
124,"Chiave di Mujiba"
125,"Costume da ballo"
126,"Lacrima cremisi"
127,""
128,""
129,""
130,""
131,""
132,""
133,""
134,""
135,"Schema tecnico Ganglion"
136,""
137,"Fumocchiali"
138,"Acqua Senirapa"
139,""
140,"Zirtodiamante"
141,"Disco di Golbogga"
142,""
143,"Linfa Tykki"
144,""
145,"Tessera magnetica grigia"
146,"Scrigno rettangolare"
147,""
148,""
149,""
150,""
151,""
152,""
153,"Carico di Kuta"
154,""
155,"Aerozium"
156,"Squamaeterea del Guardiano"
157,""
158,""
159,""
160,""
161,""
162,""
163,"Chiave della Fortezza Hilal"
