id,name
1,"ドリフター"
2,"アサルト"
3,"サムライガン"
4,"ジェネラルソード"
5,"シールドバトラー"
6,"ヘヴィーストライカー"
7,"コマンド"
8,"ソードファング"
9,"フルメタルジャガー"
10,"ロングランサー"
11,"スタークルセイダー"
12,"フォーサー"
13,"サイシーカー"
14,"エリートプランナー"
15,"ブラストフェンサー"
16,"ギャラクシーナイト"
17,"Drifter"
18,"Assault"
19,"Samurai Gun"
20,"General Sword"
21,"Shield Battler"
22,"Heavy Striker"
23,"Command"
24,"Sword Fang"
25,"FullMetal Jaguar"
26,"Long Lancer"
27,"Star Crusader"
28,"Forcer"
29,"Psy Seeker"
30,"Elite Planner"
31,"Blast Fencer"
32,"Galaxy Knight"
33,"ジェネラルソード改"
34,"シールドバトラー改"
35,"サムライガン改"
36,"ブラストフェンサー改"
37,"サイシーカー改"
38,"ソードファング改"
39,"ロングランサー改"
40,"フルメタルジャガー改"
41,"ギャラクシーナイト改"
