ID,name
1,"世界獣の頭蓋の欠片"
2,"世界獣の左翼の欠片"
3,"世界獣の右翼の欠片"
4,"世界獣の左羽の欠片"
5,"世界獣の右羽の欠片"
6,"世界獣の背甲の欠片"
7,"世界獣の尾の欠片"
8,""
9,""
10,""
11,""
12,""
13,""
14,""
15,"惑星獣の頭蓋の欠片"
16,"惑星獣の胸郭の欠片"
17,"惑星獣の心臓の欠片"
18,"惑星獣の左翼の欠片"
19,"惑星獣の右翼の欠片"
20,"惑星獣の背甲の欠片"
21,"惑星獣の尾の欠片"
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,"“命を総べる者”から 得た巨大な頭蓋の欠片 できるだけ多くのサンプルを集め、 分析してみなければその価値は分からない"
30,"“命を総べる者”から はぎ取った左翼の鱗の欠片 できるだけ多くのサンプルを集め、 分析してみなければその価値は分からない"
31,"“命を総べる者”から はぎ取った右翼の鱗の欠片 できるだけ多くのサンプルを集め、 分析してみなければその価値は分からない"
32,"“命を総べる者”が 落とした左羽の欠片 できるだけ多くのサンプルを集め、 分析してみなければその価値は分からない"
33,"“命を総べる者”が 落とした右羽の欠片 できるだけ多くのサンプルを集め、 分析してみなければその価値は分からない"
34,"“命を総べる者”から 削り取った堅牢な背甲の欠片 できるだけ多くのサンプルを集め、 分析してみなければその価値は分からない"
35,"“命を総べる者”から 切り取った尾の欠片 できるだけ多くのサンプルを集め、 分析してみなければその価値は分からない"
36,""
37,""
38,""
39,""
40,""
41,""
42,""
43,"惑星を滅ぼす獣から 剥離した頭蓋の欠片 できるだけ多くのサンプルを集め、 分析してみなければその価値は分からない"
44,"惑星を滅ぼす獣から 切り出した分厚い胸郭の欠片 できるだけ多くのサンプルを集め、 分析してみなければその価値は分からない"
45,"惑星を滅ぼす獣から 得た心臓の筋繊維の欠片 できるだけ多くのサンプルを集め、 分析してみなければその価値は分からない"
46,"惑星を滅ぼす獣から 切り出した柔らかな左翼の欠片 できるだけ多くのサンプルを集め、 分析してみなければその価値は分からない"
47,"惑星を滅ぼす獣から 切り出した柔らかな右翼の欠片 できるだけ多くのサンプルを集め、 分析してみなければその価値は分からない"
48,"惑星を滅ぼす獣から はぎ取った堅牢な背甲の欠片 できるだけ多くのサンプルを集め、 分析してみなければその価値は分からない"
49,"惑星を滅ぼす獣から 得た巨大な尾羽の欠片 できるだけ多くのサンプルを集め、 分析してみなければその価値は分からない"
50,""
51,""
52,""
53,""
54,""
55,""
56,""
