ID,name
1,"드리프터"
2,"어설트"
3,"사무라이 건"
4,"제너럴 소드"
5,"실드 배틀러"
6,"헤비 스트라이커"
7,"코만도"
8,"소드 팽"
9,"풀 메탈 재규어"
10,"롱 랜서"
11,"스타 크루세이더"
12,"포서"
13,"사이 시커"
14,"엘리트 플래너"
15,"블래스트 펜서"
16,"갤럭시 나이트"
17,"Drifter"
18,"Assault"
19,"Samurai Gun"
20,"General Sword"
21,"Shield Battler"
22,"Heavy Striker"
23,"Commando"
24,"Sword Fang"
25,"Full Metal Jaguar"
26,"Long Lancer"
27,"Star Crusader"
28,"Forcer"
29,"Psy Seeker"
30,"Elite Planner"
31,"Blast Fencer"
32,"Galaxy Knight"
33,"제너럴 소드+"
34,"실드 배틀러+"
35,"사무라이 건+"
36,"블래스트 펜서+"
37,"사이 시커+"
38,"소드 팽+"
39,"롱 랜서+"
40,"풀 메탈 재규어+"
41,"갤럭시 나이트+"
