id,name
1,"세계 괴수의 머리뼈 조각"
2,"세계 괴수의 왼쪽 날개 조각"
3,"세계 괴수의 오른쪽 날개 조각"
4,"세계 괴수의 왼쪽 깃털 조각"
5,"세계 괴수의 오른쪽 깃털 조각"
6,"세계 괴수의 등갑 조각"
7,"세계 괴수의 꼬리 조각"
8,""
9,""
10,""
11,""
12,""
13,""
14,""
15,"행성 괴수의 머리뼈 조각"
16,"행성 괴수의 몸통 조각"
17,"행성 괴수의 심장 조각"
18,"행성 괴수의 왼쪽 날개 조각"
19,"행성 괴수의 오른쪽 날개 조각"
20,"행성 괴수의 등갑 조각"
21,"행성 괴수의 꼬리 조각"
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,"""생명을 다스리는 자""에게서 얻은 거대한 머리뼈 조각 가능한 한 많은 샘플을 모아 분석해 보면 그 가치를 알 수 있다"
30,"""생명을 다스리는 자""에게서 떼어 낸 왼쪽 날개의 비늘 조각 가능한 한 많은 샘플을 모아 분석해 보면 그 가치를 알 수 있다"
31,"""생명을 다스리는 자""에게서 떼어 낸 오른쪽 날개의 비늘 조각 가능한 한 많은 샘플을 모아 분석해 보면 그 가치를 알 수 있다"
32,"""생명을 다스리는 자""가 떨어뜨린 왼쪽 깃털 조각 가능한 한 많은 샘플을 모아 분석해 보면 그 가치를 알 수 있다"
33,"""생명을 다스리는 자""가 떨어뜨린 오른쪽 깃털 조각 가능한 한 많은 샘플을 모아 분석해 보면 그 가치를 알 수 있다"
34,"""생명을 다스리는 자""에게서 깎아 낸 견고한 등갑 조각 가능한 한 많은 샘플을 모아 분석해 보면 그 가치를 알 수 있다"
35,"""생명을 다스리는 자""에게서 잘라 낸 꼬리 조각 가능한 한 많은 샘플을 모아 분석해 보면 그 가치를 알 수 있다"
36,""
37,""
38,""
39,""
40,""
41,""
42,""
43,"행성을 멸망시키는 짐승에게서 벗겨 낸 머리뼈 조각 가능한 한 많은 샘플을 모아 분석해 보면 그 가치를 알 수 있다"
44,"행성을 멸망시키는 짐승에게서 잘라 낸 두꺼운 몸통 조각 가능한 한 많은 샘플을 모아 분석해 보면 그 가치를 알 수 있다"
45,"행성을 멸망시키는 짐승에게서 얻은 심장 근섬유 조각 가능한 한 많은 샘플을 모아 분석해 보면 그 가치를 알 수 있다"
46,"행성을 멸망시키는 짐승에게서 잘라 낸 부드러운 왼쪽 날개 조각 가능한 한 많은 샘플을 모아 분석해 보면 그 가치를 알 수 있다"
47,"행성을 멸망시키는 짐승에게서 잘라 낸 부드러운 오른쪽 날개 조각 가능한 한 많은 샘플을 모아 분석해 보면 그 가치를 알 수 있다"
48,"행성을 멸망시키는 짐승에게서 떼어 낸 견고한 등갑 조각 가능한 한 많은 샘플을 모아 분석해 보면 그 가치를 알 수 있다"
49,"행성을 멸망시키는 짐승에게서 얻은 거대한 꼬리 깃털 조각 가능한 한 많은 샘플을 모아 분석해 보면 그 가치를 알 수 있다"
50,""
51,""
52,""
53,""
54,""
55,""
56,""
