ID,name
1,""
2,""
3,""
4,""
5,""
6,""
7,""
8,""
9,""
10,""
11,""
12,""
13,""
14,""
15,""
16,""
17,""
18,""
19,""
20,""
21,""
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,""
30,""
31,""
32,""
33,""
34,""
35,""
36,""
37,""
38,""
39,""
40,""
41,"Casco gastado"
42,"Peto gastado"
43,"Manga gastada D"
44,"Manga gastada I"
45,"Espinilleras gastadas"
46,"SK20SA L-CABEZA-VEL"
47,"SK20SA L-CUERPO-VEL"
48,"SK20SA L-BRAZOD-VEL"
49,"SK20SA L-BRAZOI-VEL"
50,"SK20SA L-PIERNAS-VEL"
51,"SK30SA L-CABEZA-VEL"
52,"SK30SA L-CUERPO-VEL"
53,"SK30SA L-BRAZOD-VEL"
54,"SK30SA L-BRAZOI-VEL"
55,"SK30SA L-PIERNAS-VEL"
56,"SK40SA L-CABEZA-VEL"
57,"SK40SA L-CUERPO-VEL"
58,"SK40SA L-BRAZOD-VEL"
59,"SK40SA L-BRAZOI-VEL"
60,"SK40SA L-PIERNAS-VEL"
61,"SK50SA L-CABEZA-VEL"
62,"SK50SA L-CUERPO-VEL"
63,"SK50SA L-BRAZOD-VEL"
64,"SK50SA L-BRAZOI-VEL"
65,"SK50SA L-PIERNAS-VEL"
66,"SK60SA L-CABEZA-VEL"
67,"SK60SA L-CUERPO-VEL"
68,"SK60SA L-BRAZOD-VEL"
69,"SK60SA L-BRAZOI-VEL"
70,"SK60SA L-PIERNAS-VEL"
71,"SK20SA L-CABEZA-ATQ"
72,"SK20SA L-CUERPO-ATQ"
73,"SK20SA L-BRAZOD-ATQ"
74,"SK20SA L-BRAZOI-ATQ"
75,"SK20SA L-PIERNAS-ATQ"
76,"SK30SA L-CABEZA-ATQ"
77,"SK30SA L-CUERPO-ATQ"
78,"SK30SA L-BRAZOD-ATQ"
79,"SK30SA L-BRAZOI-ATQ"
80,"SK30SA L-PIERNAS-ATQ"
81,"SK40SA L-CABEZA-ATQ"
82,"SK40SA L-CUERPO-ATQ"
83,"SK40SA L-BRAZOD-ATQ"
84,"SK40SA L-BRAZOI-ATQ"
85,"SK40SA L-PIERNAS-ATQ"
86,"SK50SA L-CABEZA-ATQ"
87,"SK50SA L-CUERPO-ATQ"
88,"SK50SA L-BRAZOD-ATQ"
89,"SK50SA L-BRAZOI-ATQ"
90,"SK50SA L-PIERNAS-ATQ"
91,"SK60SA L-CABEZA-ATQ"
92,"SK60SA L-CUERPO-ATQ"
93,"SK60SA L-BRAZOD-ATQ"
94,"SK60SA L-BRAZOI-ATQ"
95,"SK60SA L-PIERNAS-ATQ"
96,"SK20GG L-CABEZA-DEF"
97,"SK20GG L-CUERPO-DEF"
98,"SK20GG L-BRAZOD-DEF"
99,"SK20GG L-BRAZOI-DEF"
100,"SK20GG L-PIERNAS-DEF"
101,"SK30GG L-CABEZA-DEF"
102,"SK30GG L-CUERPO-DEF"
103,"SK30GG L-BRAZOD-DEF"
104,"SK30GG L-BRAZOI-DEF"
105,"SK30GG L-PIERNAS-DEF"
106,"SK40GG L-CABEZA-DEF"
107,"SK40GG L-CUERPO-DEF"
108,"SK40GG L-BRAZOD-DEF"
109,"SK40GG L-BRAZOI-DEF"
110,"SK40GG L-PIERNAS-DEF"
111,"SK50GG L-CABEZA-DEF"
112,"SK50GG L-CUERPO-DEF"
113,"SK50GG L-BRAZOD-DEF"
114,"SK50GG L-BRAZOI-DEF"
115,"SK50GG L-PIERNAS-DEF"
116,"SK60GG L-CABEZA-DEF"
117,"SK60GG L-CUERPO-DEF"
