ID,name
1,"Diamante en bruto"
2,"Bombardero"
3,"Artillero samurái"
4,"Duelista"
5,"Soldado blindado"
6,"Combatiente baluarte"
7,"Comando"
8,"Colmillo raudo"
9,"Jaguar de acero"
10,"Águila de guerra"
11,"Paladín astral"
12,"Ejecutor"
13,"Psicorruptor"
14,"Mente maestra"
15,"Espadachín destructor"
16,"Caballero galáctico"
17,"Diamante en bruto"
18,"Bombardero"
19,"Artillero samurái"
20,"Duelista"
21,"Soldado blindado"
22,"Combatiente baluarte"
23,"Comando"
24,"Colmillo raudo"
25,"Jaguar de acero"
26,"Águila de guerra"
27,"Paladín astral"
28,"Ejecutor"
29,"Psicorruptor"
30,"Mente maestra"
31,"Espadachín destructor"
32,"Caballero galáctico"
33,"Duelista+"
34,"Soldado blindado+"
35,"Artillero samurái+"
36,"Espadachín destructor+"
37,"Psicorruptor+"
38,"Colmillo raudo+"
39,"Águila de guerra+"
40,"Jaguar de acero+"
41,"Caballero galáctico+"
