id,name
1,"ARCHIVO-CAC0101SS"
2,"ARCHIVO-CAC0102SS"
3,"ARCHIVO-CAC0201CC"
4,"ARCHIVO-CAC0202OR"
5,"ARCHIVO-CAC0203SS"
6,"ARCHIVO-CAC0204SS"
7,"ARCHIVO-CAC0301NP"
8,"ARCHIVO-CAC0302OR"
9,"ARCHIVO-CAC0303OR"
10,"ARCHIVO-CAC0401CC"
11,"ARCHIVO-CAC0402CC"
12,"ARCHIVO-CAC0403NP"
13,"ARCHIVO-CAC0501CC"
14,"ARCHIVO-CAC0502OR"
15,"ARCHIVO-CAC0503SS"
16,"ARCHIVO-CAC0601SS"
17,"ARCHIVO-CAC0602SS"
18,"ARCHIVO-AD0101CC"
19,"ARCHIVO-AD0102SS"
20,"ARCHIVO-AD0201CC"
21,"ARCHIVO-AD0202CC"
22,"ARCHIVO-AD0203CC"
23,"ARCHIVO-AD0204NP"
24,"ARCHIVO-AD0205SS"
25,"ARCHIVO-AD0301CC"
26,"ARCHIVO-AD0401CC"
27,"ARCHIVO-AD0402NP"
28,"ARCHIVO-AD0403OR"
29,"ARCHIVO-AD0501CC"
30,"ARCHIVO-AD0502NP"
31,"ARCHIVO-AD0503SS"
32,"ARCHIVO-AD0504SS"
33,"ARCHIVO-AD0601CC"
34,"ARCHIVO-AD0602NP"
35,"ARCHIVO-AD0603OR"
36,"ARCHIVO-CAC0101SA"
37,"ARCHIVO-CAC0102GG"
38,"ARCHIVO-CAC0103SA"
39,"ARCHIVO-CAC0103SA"
40,"ARCHIVO-CAC0202GG"
41,"ARCHIVO-CAC0203SA"
42,"ARCHIVO-CAC0301SA"
43,"ARCHIVO-CAC0302GG"
44,"ARCHIVO-CAC0303SA"
45,"ARCHIVO-CAC0401GG"
46,"ARCHIVO-CAC0402SA"
47,"ARCHIVO-CAC0403GG"
48,"ARCHIVO-CAC0501SA"
49,"ARCHIVO-CAC0502GG"
50,"ARCHIVO-CAC0503SA"
51,"ARCHIVO-CAC0601GG"
52,"ARCHIVO-CAC0602SA"
53,"ARCHIVO-CAC0603GG"
54,"ARCHIVO-AD0101SA"
55,"ARCHIVO-AD0102GG"
56,"ARCHIVO-AD0103SA"
57,"ARCHIVO-AD0201SA"
58,"ARCHIVO-AD0202GG"
59,"ARCHIVO-AD0203SA"
60,"ARCHIVO-AD0301GG"
61,"ARCHIVO-AD0302SA"
62,"ARCHIVO-AD0303GG"
63,"ARCHIVO-AD0401SA"
64,"ARCHIVO-AD0402GG"
65,"ARCHIVO-AD0403SA"
66,"ARCHIVO-AD0501SA"
67,"ARCHIVO-AD0502GG"
68,"ARCHIVO-AD0503SA"
69,"ARCHIVO-AD0601GG"
70,"ARCHIVO-AD0602SA"
71,"ARCHIVO-AD0603GG"
72,"ARCHIVO-EC0101SA"
73,"ARCHIVO-EC0102SA"
74,"ARCHIVO-EC0103SA"
75,"ARCHIVO-EC0104SA"
76,"ARCHIVO-EC0105SA"
77,"ARCHIVO-EC0106SA"
78,"ARCHIVO-AD1306FC"
79,"Plano para un arma experimental de origen alienígena. Espada bastarda: Guja magistral"
80,"Plano para un arma experimental de origen alienígena. Espada bastarda: Guja magistral II"
81,"Plano para un arma experimental de origen alienígena. Espadas gemelas: Gemelas originales"
82,"Plano para un arma experimental de origen alienígena. Espadas gemelas: Esplendor original"
83,"Plano para un arma experimental de origen alienígena. Espadas gemelas: Filos magistrales II"
84,"Plano para un arma experimental de origen alienígena. Espadas gemelas: Filos magistrales"
85,"Plano para un arma experimental de origen alienígena. Cuchillo: Estoque original"
86,"Plano para un arma experimental de origen alienígena. Cuchillo: Iyst original"
87,"Plano para un arma experimental de origen alienígena. Cuchillo: Iyst original II"
88,"Plano para un arma experimental de origen alienígena. Escudo: Broquel original"
89,"Plano para un arma experimental de origen alienígena. Escudo: Broquel original II"
90,"Plano para un arma experimental de origen alienígena. Escudo: Thudclang original"
91,"Plano para un arma experimental de origen alienígena. Jabalina: Meteoro original"
92,"Plano para un arma experimental de origen alienígena. Jabalina: Jyth original"
93,"Plano para un arma experimental de origen alienígena. Jabalina: Alabarda magistral"
94,"Plano para un arma experimental de origen alienígena. Sable de fotones: Filo de luz magistral"
95,"Plano para un arma experimental de origen alienígena. Sable de fotones: Filo de luz magistral II"
96,"Plano para un arma experimental de origen alienígena. Fusil asalto: Atacante original"
97,"Plano para un arma experimental de origen alienígena. Fusil asalto: Fusil de incursión magistral"
98,"Plano para un arma experimental de origen alienígena. Pistolas gemelas: Díadas originales"
99,"Plano para un arma experimental de origen alienígena. Pistolas gemelas: Díadas originales III"
100,"Plano para un arma experimental de origen alienígena. Pistolas gemelas: Díadas originales II"
101,"Plano para un arma experimental de origen alienígena. Pistolas gemelas: Bangbangs originales"
102,"Plano para un arma experimental de origen alienígena. Pistolas gemelas: Refuerzo magistral"
103,"Plano para un arma experimental de origen alienígena. Lanzarrayos: Luz original"
104,"Plano para un arma experimental de origen alienígena. Ametralladora: Puño original"
105,"Plano para un arma experimental de origen alienígena. Ametralladora: Ratatatta original"
106,"Plano para un arma experimental de origen alienígena. Ametralladora: Ziyse original"
107,"Plano para un arma experimental de origen alienígena. Francotirador: Gatillo original"
108,"Plano para un arma experimental de origen alienígena. Francotirador: Zas original"
109,"Plano para un arma experimental de origen alienígena. Francotirador: Vistamortal magistral"
110,"Plano para un arma experimental de origen alienígena. Francotirador: Vistamortal magistral II"
111,"Plano para un arma experimental de origen alienígena. Lanzaondas: Saboteador original"
112,"Plano para un arma experimental de origen alienígena. Lanzaondas: Fwooshers original"
113,"Plano para un arma experimental de origen alienígena. Lanzaondas: Zorcyses original"
114,"Plano para un arma cuyo desarrollo nunca se completó. Espada bastarda: Espada arquetipo"
115,"Plano para un arma cuyo desarrollo nunca se completó. Espada bastarda: Mandoble arquetipo II"
116,"Plano para un arma cuyo desarrollo nunca se completó. Espada bastarda: Espada arquetipo II"
117,"Plano para un arma cuyo desarrollo nunca se completó. Espadas gemelas: Filos arquetipo"
