id,name
1,""
2,"Cuero firme"
3,"Cuero flexible"
4,"Espinazo duro"
5,""
6,"Pelo apelmazado"
7,"Músculo gastado"
8,"Piel mullida"
9,"Lengua babosa"
10,"Carne suculenta"
11,"Pico roto"
12,"Piedra roma"
13,"Carne jugosa"
14,"Epitelio pringoso"
15,"Cuerno esbelto"
16,"Cartílago gelatinoso"
17,"Joya rayada"
18,"Célula activa"
19,"Niebla negra"
20,"Ala sucia"
21,""
22,""
23,""
24,""
25,""
26,"Ala rota de insecto"
27,"Fluidos corporales secos"
28,"Mucosa pegajosa"
29,"Antena rota"
30,"Mandíbula insecto"
31,"Concha pequeña"
32,"Tenazas rotas"
33,"Garra mellada"
34,"Patita pequeña"
35,"Pata de insecto intacta"
36,"Néctar almizclado"
37,"Mandíbula de insecto intacta"
38,""
39,""
40,""
41,""
42,"Coraza abandonada"
43,""
44,"Palanca de calidad"
45,"Palanca ordinaria"
46,"Aleta dorsal"
47,"Membrana opaca"
48,"Carne podrida"
49,"Pescado apestoso"
50,"Panza de pescado"
51,"Mucosa de molusco"
52,"Bigotes intactos"
53,"Espícula intacta"
54,"Pescado fresco"
55,"Hígado raro"
56,"Panza deliciosa de pescado"
57,"Membrana transparente"
58,"Piel de calidad"
59,"Escama de calidad"
60,"Retina reluciente"
61,""
62,"Plumas coloridas"
63,"Cuero ligero"
64,"Cuero embarrado"
65,""
66,"Remo perforado"
67,""
68,""
69,""
70,""
71,""
72,""
73,""
74,"Abeto dorado"
75,""
76,"Glifo «libertas»"
77,"Armadura dorada"
78,"Corazón de plata del Vita"
79,"Lente avanzada"
80,"Tablas dobles"
81,"Glifo «creare»"
82,"Panel pulpo"
83,"Tentáculo rayo aterrador"
84,"Ventosa rexoskell"
85,"Glifo «tempus»"
86,"Armadura de acero negra"
87,"Condecoración Vasara"
88,""
89,""
90,""
91,"Contador puge"
92,""
93,""
94,"Propulsor reforzado"
95,""
96,""
97,"Mecanismo autodestructivo puge"
98,"Propulsor avanzado"
99,"Palanca auténtica"
100,"Cilindro usado"
101,"Cilindro nuevo"
102,"Fusible de calidad"
103,"Lámpara pugilita"
104,""
105,""
106,""
107,"Clavija ordinaria"
108,"Clavija reforzada"
109,""
110,""
111,""
112,""
113,""
114,""
115,""
116,""
117,""
118,"Unidad R.B."
119,"Unidad T.P."
120,"Unidad S.P."
121,"Unidad E.M."
122,"Cable múltiple"
123,"Unidad O.X."
124,"Cabeza de galdr"
125,"Transmisor ordinario"
126,"Transmisor remodelado"
127,""
128,"Cápsula quo"
129,""
130,""
131,"Pistón reforzado"
132,""
133,""
134,""
135,""
136,"Girocompás negro"
137,""
138,""
139,"Girocompás dorado"
140,""
141,""
142,""
143,"Resorte ordinario"
144,"Resorte remodelado"
145,""
146,"Trozo de elemento"
147,"Blasón norte de oc-serv"
148,"Blasón sur de oc-serv"
