id,name
1,"Cráneo de la Dueña"
2,"Ala izquierda de la Dueña"
3,"Ala derecha de la Dueña"
4,"Pluma izquierda de la Dueña"
5,"Pluma derecha de la Dueña"
6,"Coraza de la Dueña"
7,"Cola de la Dueña"
8,""
9,""
10,""
11,""
12,""
13,""
14,""
15,"Cráneo de yggralith"
16,"Torso de yggralith"
17,"Corazón de yggralith"
18,"Ala izquierda de yggralith"
19,"Ala derecha de yggralith"
20,"Coraza de yggralith"
21,"Cola de yggralith"
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,"Enorme trozo de cráneo obtenido de la Dueña del destino.  Reúne tantos como puedas  y analízalos para conocer su valor."
30,"Trozo del ala izquierda de la Dueña del destino. Reúne tantos como puedas y analízalos para conocer su valor."
31,"Trozo del ala derecha de la Dueña del destino. Reúne tantos como puedas y analízalos para conocer su valor."
32,"Trozo de una de las plumas izquierdas de la Dueña del destino. Reúne tantos como puedas y analízalos para conocer su valor."
33,"Trozo de una de las plumas derechas de la Dueña del destino. Reúne tantos como puedas y analízalos para conocer su valor."
34,"Sólido trozo de coraza arrebatado a la Dueña del destino. Reúne tantos como puedas y analízalos para conocer su valor."
35,"Trozo de cola arrebatado a la Dueña del destino. Reúne tantos como puedas y analízalos para conocer su valor."
36,""
37,""
38,""
39,""
40,""
41,""
42,""
43,"Trozo de cráneo obtenido de una bestia destructora de planetas. Reúne tantos como puedas y analízalos para conocer su valor."
44,"Grueso trozo de torso obtenido de una bestia destructora de planetas. Reúne tantos como puedas y analízalos para conocer su valor."
45,"Trozo de fibra muscular obtenido del corazón de una bestia destructora de planetas. Reúne tantos como puedas y analízalos para conocer su valor."
46,"Trozo de la suave ala izquierda de una bestia destructora de planetas. Reúne tantos como puedas y analízalos para conocer su valor."
47,"Trozo de la suave ala derecha de una bestia destructora de planetas. Reúne tantos como puedas y analízalos para conocer su valor."
48,"Sólido trozo de coraza obtenido de una bestia destructora de planetas. Reúne tantos como puedas y analízalos para conocer su valor."
49,"Enorme trozo de pluma de la cola de una bestia destructora de planetas. Reúne tantos como puedas y analízalos para conocer su valor."
50,""
51,""
52,""
53,""
54,""
55,""
56,""
