id,name
1,"Telecomunicador de Conner"
2,"Parabrisas"
3,"Reloj de Bobby"
4,"Savia de rama nudosa"
5,"Radario"
6,"Radario maloliente"
7,"Rebanada de pan"
8,"Gema azul profundo"
9,"Langosta de peluche grande"
10,"Langosta de peluche"
11,"Vale de comida"
12,"Huesos de suid"
13,"Equipo de caza ma-non"
14,"Cromo básico: blatta"
15,"Cromo básico: cinícula"
16,"Cromo básico: petramanda"
17,"Cromo plateado: simius"
18,"Cromo plateado: evelo"
19,"Cromo plateado: xiphias"
20,"Cromo plateado: mortifole"
21,"Cromo dorado: nopopótamo"
22,""
23,"Perla natural"
24,""
25,""
26,""
27,""
28,""
29,""
30,""
31,""
32,"Mineral de oro blanco"
33,"Llave de Briggs"
34,"Llave de Fosdyke"
35,"Llave de Moorehouse"
36,""
37,""
38,""
39,"Nota de Quegga"
40,""
41,""
42,"Tarjeta de acceso a Biahno"
43,""
44,""
45,""
46,""
47,"Tarjeta identificativa de Ajoa"
48,""
49,""
50,""
51,"Tarta helada"
52,"Botella de Malyteth"
53,""
54,""
55,"Contrato nopon"
56,""
57,"Gema de nopon"
58,""
59,""
60,""
61,"Brazalete de Vi Sezha"
62,"Daga de Ge Jewhe"
63,""
64,""
65,"Aro pétreo"
66,""
67,""
68,"Paquete de Zazazan"
69,"Contenedor peligroso"
70,"Pila de combustible peligrosa"
71,"Pagaré de Nio"
72,"Anillo de zafiro"
73,""
74,""
75,""
76,""
77,""
78,""
79,""
80,""
81,""
82,"Hoja de luminaria"
83,"Gorkwa"
84,"Brazo derecho Run'tonam"
85,""
86,""
87,"Gorkwa de Troylan"
88,""
89,""
90,"Restos de la Ballena Blanca"
91,""
92,""
93,""
94,"Tarjeta identificativa de Ian"
95,"Regalo de Nalu"
96,"Gafas de sol de papapón"
97,"Carta de Dodonga"
98,"Carta de Dorian"
99,"Restos de tecnología wrothian"
100,"Botiquín"
101,"Llave de la prisión"
102,""
103,"Permiso de Skell"
104,""
105,""
106,""
107,"Restos de la Ballena Blanca"
108,"Cable de alimentación L-002"
109,"Certificado de permiso de Skell"
110,""
111,""
112,""
113,""
114,"Muestra de tejido"
115,"Telecomunicador de Mia"
116,"Semilla de árbol fosfórico"
