ID,name
1,"漂流者"
2,"強襲兵"
3,"武士槍手"
4,"將軍劍士"
5,"盾鬥士"
6,"重裝打擊者"
7,"突擊兵"
8,"劍牙士"
9,"全金屬獵豹"
10,"長槍士"
11,"星輝十字軍"
12,"後援士"
13,"精神探求者"
14,"菁英謀略士"
15,"爆裂劍士"
16,"銀河騎士"
17,"Drifter"
18,"Assault"
19,"Samurai Gun"
20,"General Sword"
21,"Shield Battler"
22,"Heavy Striker"
23,"Commando"
24,"Sword Fang"
25,"FullMetal Jaguar"
26,"Long Lancer"
27,"Star Crusader"
28,"Forcer"
29,"Psy Seeker"
30,"Elite Planner"
31,"Blast Fencer"
32,"Galaxy Knight"
33,"將軍劍士 改"
34,"盾鬥士 改"
35,"武士槍手 改"
36,"爆裂劍士 改"
37,"精神探求者 改"
38,"劍牙士 改"
39,"長槍士 改"
40,"全金屬獵豹 改"
41,"銀河騎士 改"
