ID,name
1,""
2,""
3,""
4,""
5,""
6,""
7,""
8,""
9,""
10,""
11,""
12,""
13,""
14,""
15,""
16,""
17,""
18,""
19,""
20,""
21,""
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,""
30,""
31,""
32,""
33,""
34,""
35,""
36,""
37,""
38,""
39,""
40,""
41,"Busted Head Armor"
42,"Busted Torso Armor"
43,"Busted Arm Armor R"
44,"Busted Arm Armor L"
45,"Busted Leg Armor"
46,"SK20SA L-HEAD-SPD"
47,"SK20SA L-BODY-SPD"
48,"SK20SA L-RARM-SPD"
49,"SK20SA L-LARM-SPD"
50,"SK20SA L-LEGS-SPD"
51,"SK30SA L-HEAD-SPD"
52,"SK30SA L-BODY-SPD"
53,"SK30SA L-RARM-SPD"
54,"SK30SA L-LARM-SPD"
55,"SK30SA L-LEGS-SPD"
56,"SK40SA L-HEAD-SPD"
57,"SK40SA L-BODY-SPD"
58,"SK40SA L-RARM-SPD"
59,"SK40SA L-LARM-SPD"
60,"SK40SA L-LEGS-SPD"
61,"SK50SA L-HEAD-SPD"
62,"SK50SA L-BODY-SPD"
63,"SK50SA L-RARM-SPD"
64,"SK50SA L-LARM-SPD"
65,"SK50SA L-LEGS-SPD"
66,"SK60SA L-HEAD-SPD"
67,"SK60SA L-BODY-SPD"
68,"SK60SA L-RARM-SPD"
69,"SK60SA L-LARM-SPD"
70,"SK60SA L-LEGS-SPD"
71,"SK20SA L-HEAD-ATK"
72,"SK20SA L-BODY-ATK"
73,"SK20SA L-RARM-ATK"
74,"SK20SA L-LARM-ATK"
75,"SK20SA L-LEGS-ATK"
76,"SK30SA L-HEAD-ATK"
77,"SK30SA L-BODY-ATK"
78,"SK30SA L-RARM-ATK"
79,"SK30SA L-LARM-ATK"
80,"SK30SA L-LEGS-ATK"
81,"SK40SA L-HEAD-ATK"
82,"SK40SA L-BODY-ATK"
83,"SK40SA L-RARM-ATK"
84,"SK40SA L-LARM-ATK"
85,"SK40SA L-LEGS-ATK"
86,"SK50SA L-HEAD-ATK"
87,"SK50SA L-BODY-ATK"
88,"SK50SA L-RARM-ATK"
89,"SK50SA L-LARM-ATK"
90,"SK50SA L-LEGS-ATK"
91,"SK60SA L-HEAD-ATK"
92,"SK60SA L-BODY-ATK"
93,"SK60SA L-RARM-ATK"
94,"SK60SA L-LARM-ATK"
95,"SK60SA L-LEGS-ATK"
96,"SK20GG L-HEAD-DEF"
97,"SK20GG L-BODY-DEF"
98,"SK20GG L-RARM-DEF"
99,"SK20GG L-LARM-DEF"
100,"SK20GG L-LEGS-DEF"
101,"SK30GG L-HEAD-DEF"
102,"SK30GG L-BODY-DEF"
103,"SK30GG L-RARM-DEF"
104,"SK30GG L-LARM-DEF"
105,"SK30GG L-LEGS-DEF"
106,"SK40GG L-HEAD-DEF"
107,"SK40GG L-BODY-DEF"
108,"SK40GG L-RARM-DEF"
109,"SK40GG L-LARM-DEF"
110,"SK40GG L-LEGS-DEF"
111,"SK50GG L-HEAD-DEF"
112,"SK50GG L-BODY-DEF"
113,"SK50GG L-RARM-DEF"
114,"SK50GG L-LARM-DEF"
115,"SK50GG L-LEGS-DEF"
116,"SK60GG L-HEAD-DEF"
117,"SK60GG L-BODY-DEF"
118,"SK60GG L-RARM-DEF"
119,"SK60GG L-LARM-DEF"
120,"SK60GG L-LEGS-DEF"
121,"SK20SA M-HEAD-MEL"
122,"SK20SA M-BODY-MEL"
123,"SK20SA M-RARM-MEL"
124,"SK20SA M-LARM-MEL"
125,"SK20SA M-LEGS-MEL"
