ID,name
1,"SpecUp.HP-MAX I"
2,"SpecUp.HP-MAX II"
3,"SpecUp.HP-MAX III"
4,"SpecUp.HP-MAX IV"
5,"SpecUp.HP-MAX V"
6,"SpecUp.HP-MAX VI"
7,"SpecUp.HP-MAX VII"
8,"SpecUp.HP-MAX VIII"
9,"SpecUp.HP-MAX IX"
10,"SpecUp.HP-MAX X"
11,"SpecUp.HP-MAX XI"
12,"SpecUp.HP-MAX XII"
13,"SpecUp.HP-MAX XIII"
14,"SpecUp.HP-MAX XIV"
15,"SpecUp.HP-MAX XV"
16,"SpecUp.HP-MAX XVI"
17,"SpecUp.HP-MAX XVII"
18,"SpecUp.HP-MAX XVIII"
19,"SpecUp.HP-MAX XIX"
20,"SpecUp.HP-MAX XX"
21,"SpecUp.GP-MAX I"
22,"SpecUp.GP-MAX II"
23,"SpecUp.GP-MAX III"
24,"SpecUp.GP-MAX IV"
25,"SpecUp.GP-MAX V"
26,"SpecUp.GP-MAX VI"
27,"SpecUp.GP-MAX VII"
28,"SpecUp.GP-MAX VIII"
29,"SpecUp.GP-MAX IX"
30,"SpecUp.GP-MAX X"
31,"SpecUp.GP-MAX XI"
32,"SpecUp.GP-MAX XII"
33,"SpecUp.GP-MAX XIII"
34,"SpecUp.GP-MAX XIV"
35,"SpecUp.GP-MAX XV"
36,"SpecUp.GP-MAX XVI"
37,"SpecUp.GP-MAX XVII"
38,"SpecUp.GP-MAX XVIII"
39,"SpecUp.GP-MAX XIX"
40,"SpecUp.GP-MAX XX"
41,"SpecUp.M-ACC I"
42,"SpecUp.M-ACC II"
43,"SpecUp.M-ACC III"
44,"SpecUp.M-ACC IV"
45,"SpecUp.M-ACC V"
46,"SpecUp.M-ACC VI"
47,"SpecUp.M-ACC VII"
48,"SpecUp.M-ACC VIII"
49,"SpecUp.M-ACC IX"
50,"SpecUp.M-ACC X"
51,"SpecUp.M-ACC XI"
52,"SpecUp.M-ACC XII"
53,"SpecUp.M-ACC XIII"
54,"SpecUp.M-ACC XIV"
55,"SpecUp.M-ACC XV"
56,"SpecUp.M-ACC XVI"
57,"SpecUp.M-ACC XVII"
58,"SpecUp.M-ACC XVIII"
59,"SpecUp.M-ACC XIX"
60,"SpecUp.M-ACC XX"
61,"SpecUp.R-ACC I"
62,"SpecUp.R-ACC II"
63,"SpecUp.R-ACC III"
64,"SpecUp.R-ACC IV"
65,"SpecUp.R-ACC V"
66,"SpecUp.R-ACC VI"
67,"SpecUp.R-ACC VII"
68,"SpecUp.R-ACC VIII"
