ID,name
1,"Drifter"
2,"Striker"
3,"Samurai Gunner"
4,"Duelist"
5,"Shield Trooper"
6,"Bastion Warrior"
7,"Commando"
8,"Winged Viper"
9,"Full Metal Jaguar"
10,"Partisan Eagle"
11,"Astral Crusader"
12,"Enforcer"
13,"Psycorruptor"
14,"Mastermind"
15,"Blast Fencer"
16,"Galactic Knight"
17,"Drifter"
18,"Striker"
19,"Samurai Gunner"
20,"Duelist"
21,"Shield Trooper"
22,"Bastion Warrior"
23,"Commando"
24,"Winged Viper"
25,"Full Metal Jaguar"
26,"Partisan Eagle"
27,"Astral Crusader"
28,"Enforcer"
29,"Psycorruptor"
30,"Mastermind"
31,"Blast Fencer"
32,"Galactic Knight"
33,"Duelist+"
34,"Shield Trooper+"
35,"Samurai Gunner+"
36,"Blast Fencer+"
37,"Psycorruptor+"
38,"Winged Viper+"
39,"Partisan Eagle+"
40,"Full Metal Jaguar+"
41,"Galactic Knight+"
