ID,name
1,"FILE-M0101SS"
2,"FILE-M0102SS"
3,"FILE-M0201CC"
4,"FILE-M0202OR"
5,"FILE-M0203SS"
6,"FILE-M0204SS"
7,"FILE-M0301NP"
8,"FILE-M0302OR"
9,"FILE-M0303OR"
10,"FILE-M0401CC"
11,"FILE-M0402CC"
12,"FILE-M0403NP"
13,"FILE-M0501CC"
14,"FILE-M0502OR"
15,"FILE-M0503SS"
16,"FILE-M0601SS"
17,"FILE-M0602SS"
18,"FILE-R0101CC"
19,"FILE-R0102SS"
20,"FILE-R0201CC"
21,"FILE-R0202CC"
22,"FILE-R0203CC"
23,"FILE-R0204NP"
24,"FILE-R0205SS"
25,"FILE-R0301CC"
26,"FILE-R0401CC"
27,"FILE-R0402NP"
28,"FILE-R0403OR"
29,"FILE-R0501CC"
30,"FILE-R0502NP"
31,"FILE-R0503SS"
32,"FILE-R0504SS"
33,"FILE-R0601CC"
34,"FILE-R0602NP"
35,"FILE-R0603OR"
36,"FILE-M0101SA"
37,"FILE-M0102GG"
38,"FILE-M0103SA"
39,"FILE-M0201SA"
40,"FILE-M0202GG"
41,"FILE-M0203SA"
42,"FILE-M0301SA"
43,"FILE-M0302GG"
44,"FILE-M0303SA"
45,"FILE-M0401GG"
46,"FILE-M0402SA"
47,"FILE-M0403GG"
48,"FILE-M0501SA"
49,"FILE-M0502GG"
50,"FILE-M0503SA"
51,"FILE-M0601GG"
52,"FILE-M0602SA"
53,"FILE-M0603GG"
54,"FILE-R0101SA"
55,"FILE-R0102GG"
56,"FILE-R0103SA"
57,"FILE-R0201SA"
58,"FILE-R0202GG"
59,"FILE-R0203SA"
60,"FILE-R0301GG"
61,"FILE-R0302SA"
62,"FILE-R0303GG"
63,"FILE-R0401SA"
64,"FILE-R0402GG"
65,"FILE-R0403SA"
66,"FILE-R0501SA"
67,"FILE-R0502GG"
68,"FILE-R0503SA"
69,"FILE-R0601GG"
70,"FILE-R0602SA"
71,"FILE-R0603GG"
72,"FILE-LM0101SA"
73,"FILE-LM0102SA"
74,"FILE-LM0103SA"
75,"FILE-LM0104SA"
76,"FILE-LM0105SA"
77,"FILE-LM0106SA"
78,"FILE-R1306FC"
79,"A schematic for an experimental weapon of alien origin. Longsword: Masterstroke Glaive"
80,"A schematic for an experimental weapon of alien origin. Longsword: Masterstroke Glaive II"
81,"A schematic for an experimental weapon of alien origin. Dual Swords: Original Twins"
82,"A schematic for an experimental weapon of alien origin. Dual Swords: Original Watxes"
83,"A schematic for an experimental weapon of alien origin. Dual Swords: Masterstroke Edges II"
84,"A schematic for an experimental weapon of alien origin. Dual Swords: Masterstroke Edges"
85,"A schematic for an experimental weapon of alien origin. Knife: Original Pokepoke"
86,"A schematic for an experimental weapon of alien origin. Knife: Original Iyst"
87,"A schematic for an experimental weapon of alien origin. Knife: Original Iyst II"
88,"A schematic for an experimental weapon of alien origin. Shield: Original Haven"
89,"A schematic for an experimental weapon of alien origin. Shield: Original Haven II"
90,"A schematic for an experimental weapon of alien origin. Shield: Original Thudclang"
91,"A schematic for an experimental weapon of alien origin. Javelin: Original Bolide"
92,"A schematic for an experimental weapon of alien origin. Javelin: Original Jyth"
93,"A schematic for an experimental weapon of alien origin. Javelin: Masterstroke Lance"
94,"A schematic for an experimental weapon of alien origin. Photon Saber: Masterstroke Lightblade"
95,"A schematic for an experimental weapon of alien origin. Photon Saber: Masterstroke Lightblade II"
96,"A schematic for an experimental weapon of alien origin. Assault Rifle: Original Assailer"
97,"A schematic for an experimental weapon of alien origin. Assault Rifle: Masterstroke Raidrifle"
98,"A schematic for an experimental weapon of alien origin. Dual Guns: Original Dyads"
99,"A schematic for an experimental weapon of alien origin. Dual Guns: Original Dyads III"
100,"A schematic for an experimental weapon of alien origin. Dual Guns: Original Dyads II"
101,"A schematic for an experimental weapon of alien origin. Dual Guns: Original Bangbangs"
102,"A schematic for an experimental weapon of alien origin. Dual Guns: Masterstroke Sidearm"
103,"A schematic for an experimental weapon of alien origin. Raygun: Original Strobe"
104,"A schematic for an experimental weapon of alien origin. Gatling Gun: Original Crank"
105,"A schematic for an experimental weapon of alien origin. Gatling Gun: Original Ratatatta"
106,"A schematic for an experimental weapon of alien origin. Gatling Gun: Original Ziyse"
107,"A schematic for an experimental weapon of alien origin. Sniper Rifle: Original Trigger"
108,"A schematic for an experimental weapon of alien origin. Sniper Rifle: Original Thwipper"
109,"A schematic for an experimental weapon of alien origin. Sniper Rifle: Masterstroke Deadsight"
110,"A schematic for an experimental weapon of alien origin. Sniper Rifle: Masterstroke Deadsight II"
111,"A schematic for an experimental weapon of alien origin. Psycho Launchers: Original Saboteurs"
