ID,name
1,""
2,"Taut Leather"
3,"Supple Leather"
4,"Hard Backbone"
5,""
6,"Stiff Hair"
7,"Worn Muscle Fiber"
8,"Fleecy Fur"
9,"Slimy Tongue"
10,"Succulent Meat"
11,"Cracked Bill"
12,"Dull Stone"
13,"Juicy Wild Meat"
14,"Slimy Epithelium"
15,"Slender Horn"
16,"Squishy Cartilage"
17,"Scratched Jewel"
18,"Active Cells"
19,"Black Fog Deposits"
20,"Filthy Wing"
21,""
22,""
23,""
24,""
25,""
26,"Tatty Insect Wing"
27,"Viscous Humour"
28,"Sticky Mucus"
29,"Broken Antenna"
30,"Insect Jaw"
31,"Small Shell"
32,"Broken Pincer"
33,"Cracked Claw"
34,"Small Insect Leg"
35,"Pristine Insect Leg"
36,"Musky Nectar"
37,"Pristine Insect Jaw"
38,""
39,""
40,""
41,""
42,"Stripped Plating"
43,""
44,"Quality Crank"
45,"Standard Crank"
46,"Small Dorsal Fin"
47,"Opaque Membrane"
48,"Rotten Meat"
49,"Smelly Fish Meat"
50,"Fatty Fish Belly"
51,"Mollusk Mucus"
52,"Pristine Whiskers"
53,"Pristine Spicule"
54,"Fresh Fish Meat"
55,"Quirky Liver"
56,"Tasty Fish Belly"
57,"Transparent Membrane"
58,"Quality Skin"
59,"Quality Scale"
60,"Glowing Retina"
61,""
62,"Vibrant Plume"
63,"Lightweight Pelt"
64,"Muddy Pelt"
65,""
66,"Perforated Oar"
67,""
68,""
69,""
70,""
71,""
72,""
73,""
74,"Golden Fir Tree"
75,""
76,"Libertas Glyph"
77,"Golden Armor"
78,"Silver Vita Core"
79,"Advanced Lens"
80,"Dual Boards"
81,"Creare Glyph"
82,"Octopus Board"
83,"Eerie Lightning Tentacle"
84,"Rexoskell Sucker"
85,"Tempus Glyph"
86,"Black Steel Heavy Armor"
87,"Vasara War Medal"
88,""
89,""
90,""
91,"Puge Counter"
92,""
93,""
94,"Reinforced Thruster"
95,""
96,""
97,"Puge Self-Destruct Mechanism"
98,"Advanced Thruster"
99,"Genuine Crank"
100,"Used Cylinder"
101,"New Cylinder"
102,"Quality Fuse"
103,"Pugilith Lamp"
104,""
105,""
106,""
107,"All-Purpose Plug"
108,"Reinforced Plug"
109,""
110,""
111,""
112,""
113,""
114,""
115,""
116,""
117,""
118,"R.B. Unit"
119,"T.P. Unit"
120,"S.P. Unit"
121,"E.M. Unit"
122,"Multi-Wire"
123,"O.X. Unit"
124,"Galdr Head"
125,"Standard Jammer"
126,"Upgraded Jammer"
127,""
128,"Quo Pod"
129,""
130,""
131,"Reinforced Plunger"
132,""
133,""
134,""
135,""
136,"Black Gyrocompass"
137,""
138,""
139,"Golden Gyrocompass"
140,""
141,""
142,""
143,"Standard Coil"
144,"Upgraded Coil"
145,""
146,"Elemental Cluster"
147,"Oc-serv Northern Crest"
148,"Oc-serv Southern Crest"
149,"Oc-serv Western Crest"
150,"Oc-serv Eastern Crest"
151,""
152,"Oc-serv Hand"
153,"Genuine Frame"
154,"Reinforced Frame"
155,"Bloodied Face"
156,""
157,""
158,""
159,""
160,""
161,""
162,"Energy Tube"
163,"Dialek Glyph"
164,"Laser Light"
165,"Deva Caladar's Red Ear"
166,""
167,"Upgraded Lens"
168,""
169,"Genuine Chamber"
170,"Advanced Chamber"
171,"Advanced Crank"
172,"Damask Metal"
173,"Orichalcum Metal"
174,"Amethyst Metal"
175,"Turquoise Metal"
176,"Seidr Control Device"
177,""
178,"Reinforced Crank"
179,"Upgraded Spindle Part"
180,"Standard Blade Module"
181,"Tempered Blade Module"
182,"Shrad Eye"
183,"Ancient Armor"
184,"Advanced Core"
185,"Xe-dom Hand"
186,"Quality Core"
187,"Xe-dom Crimson Crest"
188,"Xe-dom Jet-Black Crest"
189,"Xe-dom Golden Crest"
190,"Xe-dom Silver Crest"
191,""
192,"Standard Shaft"
193,"Ziggian Long Antennae"
194,"Genuine Shaft"
195,"Upgraded Shaft Part"
196,"Quality Shaft"
197,""
198,""
199,"Qmoevan Capacitor"
200,"Standard Sensor Part"
201,"Upgraded Sensor Part"
202,"Hi-Spec Sensor Module"
203,""
204,"Reinforced Jet"
205,"Advanced Jet"
206,"Elemental Fragment"
207,"Fal-swo Solar Crest"
208,""
209,"Genuine Plate"
210,"Golden Stabilizer"
211,"Black Stabilizer"
212,"Ocher Stabilizer"
213,"White Stabilizer"
214,"Spathi Glyph"
215,"Rainbow Carving Shard"
216,"Crude Neilnail Mask"
217,"Combat Boost Meds"
218,""
219,""
220,""
221,"Fine Transparent Belt"
222,"Fine White Belt"
223,"Fine Red Belt"
224,""
225,""
226,""
227,""
228,"Red Milsaadi Hood"
229,"Blue Milsaadi Hood"
230,""
231,"Parasitic Capsule"
232,""
233,"Dirty Cloth"
234,""
235,""
236,""
237,""
238,""
239,""
240,"Quality Giant Cells"
241,"Blue Sylooth Brace"
242,"Sylooth Tonic Water"
243,"Distilled Sap"
244,"White Fungal Egg"
245,"White Sylooth Brace"
246,"Black Sylooth Brace"
247,"Gold Sylooth Brace"
248,""
249,""
250,""
251,""
252,""
253,""
254,""
255,""
256,"Gularthian Flint"
257,"Flaming Rock"
258,"Gularthian Everflame"
259,"Lava Crystal"
260,"Scorching Giant Cells"
261,""
262,""
263,""
264,""
265,""
266,""
267,""
268,""
269,""
270,""
271,""
272,""
273,"Broken Buckle"
274,""
275,""
276,"Fine Black Belt"
277,"Prone Coin Purse"
278,""
279,"Scienti Glyph"
280,"Electrified Xeno Blood"
281,""
282,"Goetia's Black Heel"
283,"Experia Glyph"
284,"Herculean Beast Hair"
285,"Dagahn's Adamant Band"
286,"Esse Glyph"
287,"Metal Xeno Chain"
288,"Ryyz's Silver Piercings"
289,"Golden Medal"
290,"Golden Chalice"
291,"Gold Ingot"
292,"Golden Cedar"
293,""
294,""
295,""
296,""
297,""
298,"Gooey Gunge"
299,"Gray Shell"
300,"Rainbow Metal"
301,"Sticky Scirpo Silk"
302,"Silver Petramand Silk"
303,"Golden Petramand Silk"
304,"Malevolent Petramand Silk"
305,"Black Petramand Silk"
306,"Ornate Petramand Claw"
307,"Scirpo Malic Acid Sac"
308,"Scirpo Silk"
309,""
310,"Pristine Claw"
311,"Scirpo Cyanide Sac"
312,"Forfex Miso"
313,""
314,""
315,"Pristine Pincer"
316,"Red Forfex Shell"
317,"White Forfex Shell"
318,"Blue Forfex Shell"
319,"Scirpo Sulfuric Acid Sac"
320,"Giant Cinicula Jaw"
321,""
322,"Thick Cinicula Horn"
323,"Cinicula Shell"
324,"Refined Horn"
325,"Melon Oil"
326,"Maple Oil"
327,"Honey Oil"
328,"Coconut Oil"
329,"Giant Falsaxum Jaw"
330,""
331,"Thick Falsaxum Horn"
332,"Falsaxum Shell"
333,"Gremlin Stone"
334,"Green Crystal"
335,""
336,""
337,""
338,"Vivohast Crescent Hook"
339,"Moving Vivohast Tail"
340,"Sharp Vivohast Jaw"
341,""
342,""
343,""
344,"Thallus Crescent Hook"
345,"Moving Thallus Tail"
346,""
347,"Black Thallus Antenna"
348,"Red Thallus Antenna"
349,"Luminescent Antenna"
350,""
351,""
352,"Dried Seaweed Lichen"
353,"Tectinsula Back Moss"
354,"Orange Tequila"
355,"Topaz Wine"
356,""
357,"Tectinsula Shell"
358,""
359,"Blue Fungi"
360,"Emerald Whiskey"
361,"Red Brandy"
362,""
363,"Arenatect Shell"
364,"Eternal Arenatect Moss"
365,"Black Blatta Wing"
366,""
367,""
368,"Medicinal Blatta Oil"
369,"Green Blatta Wing"
370,"Red Blatta Wing"
371,"Golden Blatta Wing"
372,"Silver Blatta Wing"
373,"Turba Nectar"
374,"Black Turba Nectar"
375,""
376,"Poisonous Needle"
377,""
378,""
379,"Turba Straw"
380,""
381,""
382,""
