ID,name
1,"Guardian's Skull"
2,"Guardian's Left Wing"
3,"Guardian's Right Wing"
4,"Guardian's Left Plume"
5,"Guardian's Right Plume"
6,"Guardian's Plate"
7,"Guardian's Tail"
8,""
9,""
10,""
11,""
12,""
13,""
14,""
15,"Destroyer's Skull"
16,"Destroyer's Torso"
17,"Destroyer's Heart"
18,"Destroyer's Left Wing"
19,"Destroyer's Right Wing"
20,"Destroyer's Plate"
21,"Destroyer's Tail"
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,"An enormous skull fragment taken from the Ruler of Fates. Gather as many as you can for analysis to determine their worth."
30,"A fragment torn from the left wing of the Ruler of Fates. Gather as many as you can for analysis to determine their worth."
31,"A fragment torn from the right wing of the Ruler of Fates. Gather as many as you can for analysis to determine their worth."
32,"A fragment taken from one of the Ruler of Fates' left plumes. Gather as many as you can for analysis to determine their worth."
33,"A fragment taken from one of the Ruler of Fates' right plumes. Gather as many as you can for analysis to determine their worth."
34,"A solid plate-armor fragment cut from the Ruler of Fates. Gather as many as you can for analysis to determine their worth."
35,"A tail fragment severed from the rear of the Ruler of Fates. Gather as many as you can for analysis to determine their worth."
36,""
37,""
38,""
39,""
40,""
41,""
42,""
43,"A scale-like fragment cut from the skull of a planet-destroying beast. Gather as many as you can for analysis to determine their worth."
44,"A thick torso fragment carved from a planet-destroying beast. Gather as many as you can for analysis to determine their worth."
45,"A chunk of muscle fiber taken from the heart of a planet-destroying beast. Gather as many as you can for analysis to determine their worth."
46,"A sliver of the soft left wing of a planet-destroying beast. Gather as many as you can for analysis to determine their worth."
47,"A sliver of the soft right wing of a planet-destroying beast. Gather as many as you can for analysis to determine their worth."
48,"A solid plate-armor fragment cut from a planet-destroying beast. Gather as many as you can for analysis to determine their worth."
49,"An enormous tail feather fragment severed from a planet-destroying beast. Gather as many as you can for analysis to determine their worth."
50,""
51,""
52,""
53,""
54,""
55,""
56,""
